microarray	rnaseq	flag
Os01g0111100	Os01g0111100	1
Os01g0111900	Os01g0111900	1
Os01g0120300	Os01g0120300	1
Os01g0141600	Os01g0141600	1
Os01g0149800	Os01g0149800	1
Os01g0168500	Os01g0168500	1
Os01g0181000	NA	3
Os01g0186200	Os01g0186200	1
Os01g0194300	Os01g0194300	1
Os01g0205300	Os01g0205300	1
Os01g0224500	Os01g0224500	1
Os01g0225000	Os01g0225000	1
Os01g0227400	Os01g0227400	1
Os01g0240700	NA	3
Os01g0271500	Os01g0271500	1
Os01g0271700	Os01g0271700	1
Os01g0281100	Os01g0281100	1
Os01g0303800	Os01g0303800	1
Os01g0311500	Os01g0311500	1
Os01g0351300	Os01g0351300	1
Os01g0369600	Os01g0369600	1
Os01g0372700	Os01g0372700	1
Os01g0382700	Os01g0382700	1
Os01g0385900	NA	3
Os01g0386700	Os01g0386700	1
Os01g0500600	Os01g0500600	1
Os01g0507900	Os01g0507900	1
Os01g0511600	Os01g0511600	1
Os01g0559900	Os01g0559900	1
Os01g0574500	Os01g0574500	1
Os01g0583100	Os01g0583100	1
Os01g0593000	Os01g0593000	1
Os01g0600400	Os01g0600400	1
Os01g0603800	Os01g0603800	1
Os01g0625200	Os01g0625200	1
Os01g0666800	Os01g0666800	1
Os01g0672100	Os01g0672100	1
Os01g0678000	Os01g0678000	1
Os01g0678100	Os01g0678100	1
Os01g0694900	Os01g0694900	1
Os01g0700000	Os01g0700000	1
Os01g0739400	Os01g0739400	1
Os01g0754500	Os01g0754500	1
Os01g0757500	Os01g0757500	1
Os01g0808100	Os01g0808100	1
Os01g0811300	Os01g0811300	1
Os01g0816400	Os01g0816400	1
Os01g0822800	Os01g0822800	1
Os01g0839200	Os01g0839200	1
Os01g0872800	Os01g0872800	1
Os01g0878400	Os01g0878400	1
Os01g0880200	Os01g0880200	1
Os01g0889200	Os01g0889200	1
Os01g0889900	Os01g0889900	1
Os01g0911300	Os01g0911300	1
Os01g0917400	Os01g0917400	1
Os01g0918100	Os01g0918100	1
Os01g0928800	Os01g0928800	1
Os01g0931300	Os01g0931300	1
Os01g0934500	Os01g0934500	1
Os01g0944500	Os01g0944500	1
Os01g0954400	Os01g0954400	1
Os01g0959000	Os01g0959000	1
Os01g0960800	Os01g0960800	1
Os01g0963600	Os01g0963600	1
Os01g0970500	NA	3
Os01g0971800	Os01g0971800	1
Os01g0973300	Os01g0973300	1
Os02g0107000	Os02g0107000	1
Os02g0116000	Os02g0116000	1
Os02g0120800	Os02g0120800	1
Os02g0135700	Os02g0135700	1
Os02g0143100	Os02g0143100	1
Os02g0145600	Os02g0145600	1
Os02g0169900	Os02g0169900	1
Os02g0170200	Os02g0170200	1
Os02g0175900	Os02g0175900	1
Os02g0193800	Os02g0193800	1
Os02g0215000	Os02g0215000	1
Os02g0258900	Os02g0258900	1
Os02g0265900	Os02g0265900	1
Os02g0266800	Os02g0266800	1
Os02g0287900	Os02g0287900	1
Os02g0299300	Os02g0299300	1
Os02g0306100	Os02g0306100	1
Os02g0319800	Os02g0319800	1
Os02g0324300	Os02g0324300	1
Os02g0489400	Os02g0489400	1
Os02g0509500	Os02g0509500	1
Os02g0510000	Os02g0510000	1
Os02g0519300	Os02g0519300	1
Os02g0521700	Os02g0521700	1
Os02g0563800	Os02g0563800	1
Os02g0572400	Os02g0572400	1
