"Adjusted P value","ID","Description","A & B","A","B","U"
"4.43429007568758e-05","GO:0005622","intracellular anatomical structure","81","255","1907","10021"
"1.84705815062879e-08","GO:0008152","metabolic process","176","255","4962","10021"
"0.00160838780845402","GO:0008150","biological_process","191","255","6305","10021"
"9.19059711524077e-21","GO:0006412","translation","53","255","408","10021"
"2.6690161129742e-09","GO:0005840","ribosome","31","255","293","10021"
"5.85824722505172e-10","GO:0003723","RNA binding","33","255","310","10021"
"2.62837330117554e-09","GO:0003735","structural constituent of ribosome","31","255","292","10021"
"9.66225242229186e-21","GO:0006518","peptide metabolic process","54","255","427","10021"
"3.16238798915684e-12","GO:0006807","nitrogen compound metabolic process","99","255","1848","10021"
"1.29223655639554e-08","GO:0009058","biosynthetic process","84","255","1667","10021"
"4.13818368160222e-06","GO:0009059","macromolecule biosynthetic process","59","255","1135","10021"
"1.00897756497792e-06","GO:0009987","cellular process","152","255","4225","10021"
"5.05767835671162e-09","GO:0010467","gene expression","67","255","1148","10021"
"3.25193161135954e-07","GO:0019538","protein metabolic process","83","255","1761","10021"
"3.77889313023174e-12","GO:0034641","cellular nitrogen compound metabolic process","92","255","1650","10021"
"3.75383152195077e-06","GO:0034645","cellular macromolecule biosynthetic process","59","255","1131","10021"
"1.38915365152846e-20","GO:0043043","peptide biosynthetic process","53","255","415","10021"
"4.05870964004754e-05","GO:0043170","macromolecule metabolic process","105","255","2710","10021"
"7.19048777304187e-21","GO:0043603","cellular amide metabolic process","56","255","453","10021"
"7.19048777304187e-21","GO:0043604","amide biosynthetic process","55","255","433","10021"
"1.72745206125111e-08","GO:0044237","cellular metabolic process","134","255","3337","10021"
"1.7645547182326e-05","GO:0044238","primary metabolic process","132","255","3635","10021"
"5.05767835671162e-09","GO:0044249","cellular biosynthetic process","81","255","1544","10021"
"0.000306940635641615","GO:0044260","cellular macromolecule metabolic process","94","255","2439","10021"
"2.93157032648826e-06","GO:0044267","cellular protein metabolic process","72","255","1505","10021"
"2.40739254215543e-09","GO:0044271","cellular nitrogen compound biosynthetic process","69","255","1176","10021"
"1.38161193127761e-07","GO:0071704","organic substance metabolic process","144","255","3817","10021"
"6.73494178132717e-20","GO:1901564","organonitrogen compound metabolic process","77","255","906","10021"
"7.19048777304187e-21","GO:1901566","organonitrogen compound biosynthetic process","69","255","696","10021"
"5.05767835671162e-09","GO:1901576","organic substance biosynthetic process","82","255","1575","10021"
"1.64382463548273e-14","GO:0005737","cytoplasm","68","255","896","10021"
"0.00648922233074621","GO:0032991","protein-containing complex","39","255","828","10021"
"5.49586036957844e-06","GO:0043228","non-membrane-bounded organelle","31","255","416","10021"
"5.49586036957844e-06","GO:0043232","intracellular non-membrane-bounded organelle","31","255","416","10021"
"1.84705815062879e-08","GO:0005198","structural molecule activity","32","255","341","10021"
"0.000793557986871691","GO:0019752","carboxylic acid metabolic process","26","255","402","10021"
"0.000896118991899456","GO:0006082","organic acid metabolic process","26","255","406","10021"
"0.000884341485640626","GO:0043436","oxoacid metabolic process","26","255","405","10021"
"0.00570105543227093","GO:0044281","small molecule metabolic process","34","255","677","10021"
"4.97999426430558e-06","GO:0006520","cellular amino acid metabolic process","23","255","244","10021"
"0.00450479936869299","GO:0006457","protein folding","14","255","165","10021"
"0.03339427926304","GO:1901360","organic cyclic compound metabolic process","52","255","1317","10021"
"0.0324656999330919","GO:0006725","cellular aromatic compound metabolic process","51","255","1282","10021"
"0.0318183488284923","GO:0046483","heterocycle metabolic process","51","255","1280","10021"
"2.58084022521639e-08","GO:0006418","tRNA aminoacylation for protein translation","13","255","50","10021"
"6.57192612696259e-08","GO:0004812","aminoacyl-tRNA ligase activity","13","255","54","10021"
"1.11536884679492e-08","GO:0006399","tRNA metabolic process","16","255","77","10021"
"5.0051836034653e-08","GO:0034660","ncRNA metabolic process","18","255","113","10021"
"2.58084022521639e-08","GO:0043038","amino acid activation","13","255","50","10021"
"2.58084022521639e-08","GO:0043039","tRNA aminoacylation","13","255","50","10021"
"9.77487499010903e-06","GO:0016874","ligase activity","19","255","178","10021"
"6.57192612696259e-08","GO:0016875","ligase activity, forming carbon-oxygen bonds","13","255","54","10021"
"0.0288523771616302","GO:0006396","RNA processing","11","255","133","10021"
"0.00399337906334634","GO:0019843","rRNA binding","5","255","18","10021"
"0.0429088086812716","GO:0006779","porphyrin-containing compound biosynthetic process","4","255","18","10021"
"0.00434525819336166","GO:0033013","tetrapyrrole metabolic process","6","255","29","10021"
"0.00238291110355612","GO:0033014","tetrapyrrole biosynthetic process","6","255","26","10021"
"0.00610169904381829","GO:0009523","photosystem II","6","255","31","10021"
"0.000896118991899456","GO:0009654","photosystem II oxygen evolving complex","6","255","22","10021"
"0.00116146767205324","GO:0019898","extrinsic component of membrane","6","255","23","10021"
"0.0244819756861572","GO:0009521","photosystem","6","255","40","10021"
"0.0417649302418927","GO:0009579","thylakoid","6","255","45","10021"
"0.0375408274929821","GO:0034357","photosynthetic membrane","6","255","44","10021"
"0.00366145086995612","GO:0042651","thylakoid membrane","6","255","28","10021"
"0.014001164363448","GO:1990204","oxidoreductase complex","6","255","36","10021"
"0.0186897507313832","GO:0009451","RNA modification","6","255","38","10021"
"0.0453233634000935","GO:0009536","plastid","5","255","31","10021"
"0.0318183488284923","GO:0030785","[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity","2","255","2","10021"
