"Adjusted P value","ID","Description","A & B","A","B","U"
"0.00080712757637821","dosa00030","Pentose phosphate pathway","10","152","51","3558"
"0.00183054440602313","dosa00052","Galactose metabolism","8","152","37","3558"
"1.69699891281238e-07","dosa00195","Photosynthesis","14","152","48","3558"
"0.0240952395990034","dosa00280","Valine, leucine and isoleucine degradation","7","152","43","3558"
"0.000164383656926807","dosa00500","Starch and sucrose metabolism","16","152","106","3558"
"1.69699891281238e-07","dosa00630","Glyoxylate and dicarboxylate metabolism","16","152","64","3558"
"0.000902560577356755","dosa00710","Carbon fixation in photosynthetic organisms","11","152","63","3558"
"0.00212371712892599","dosa00920","Sulfur metabolism","7","152","29","3558"
"1.20958933825259e-11","dosa01100","Metabolic pathways","113","152","1609","3558"
"2.37752184189157e-07","dosa01110","Biosynthesis of secondary metabolites","68","152","856","3558"
"1.25643175769433e-07","dosa01200","Carbon metabolism","31","152","224","3558"
"0.0496940872848906","dosa01230","Biosynthesis of amino acids","17","152","200","3558"
