nodeName	altName	nodeAttr.nodesPresent...	module	module_new	color
Os01g0100700	Os01g0100700	darkolivegreen	34	8	pink
Os01g0101200	Os01g0101200	plum2	50	19	lightyellow
Os01g0101700	Os01g0101700	brown4	47	17	grey60
Os01g0102600	Os01g0102600	brown	4	2	blue
Os01g0102900	Os01g0102900	darkolivegreen	34	8	pink
Os01g0103400	Os01g0103400	turquoise	2	1	turquoise
Os01g0106900	Os01g0106900	brown	4	2	blue
Os01g0120500	Os01g0120500	brown	4	2	blue
Os01g0120800	Os01g0120800	darkolivegreen	34	8	pink
Os01g0134500	Os01g0134500	orangered4	40	12	tan
Os01g0143800	Os01g0143800	lightcyan1	43	14	cyan
Os01g0148100	Os01g0148100	turquoise	2	1	turquoise
Os01g0148400	Os01g0148400	turquoise	2	1	turquoise
Os01g0149800	Os01g0149800	brown	4	2	blue
Os01g0151200	Os01g0151200	brown	4	2	blue
Os01g0158500	Os01g0158500	turquoise	2	1	turquoise
Os01g0158600	Os01g0158600	turquoise	2	1	turquoise
Os01g0173000	Os01g0173000	brown	4	2	blue
Os01g0174900	Os01g0174900	turquoise	2	1	turquoise
Os01g0179800	Os01g0179800	brown4	47	17	grey60
Os01g0180800	Os01g0180800	darkgrey	25	5	green
Os01g0182100	Os01g0182100	turquoise	2	1	turquoise
Os01g0189700	Os01g0189700	turquoise	2	1	turquoise
Os01g0191100	Os01g0191100	darkolivegreen	34	8	pink
Os01g0202500	Os01g0202500	darkolivegreen	34	8	pink
Os01g0205500	Os01g0205500	darkolivegreen	34	8	pink
Os01g0208700	Os01g0208700	darkslateblue	49	18	lightgreen
Os01g0221800	Os01g0221800	lightcyan1	43	14	cyan
Os01g0222600	Os01g0222600	darkorange2	46	16	lightcyan
Os01g0235100	Os01g0235100	brown4	47	17	grey60
Os01g0236700	Os01g0236700	brown4	47	17	grey60
Os01g0239200	Os01g0239200	brown	4	2	blue
Os01g0246400	Os01g0246400	skyblue3	38	11	greenyellow
Os01g0247600	Os01g0247600	turquoise	2	1	turquoise
Os01g0252600	Os01g0252600	darkslateblue	49	18	lightgreen
Os01g0262700	Os01g0262700	turquoise	2	1	turquoise
Os01g0266200	Os01g0266200	turquoise	2	1	turquoise
Os01g0276000	Os01g0276000	darkolivegreen	34	8	pink
Os01g0278900	Os01g0278900	lightcyan1	43	14	cyan
Os01g0279100	Os01g0279100	brown4	47	17	grey60
Os01g0279700	Os01g0279700	royalblue	21	4	yellow
Os01g0281100	Os01g0281100	white	28	6	red
Os01g0282800	Os01g0282800	darkmagenta	35	9	magenta
Os01g0290000	Os01g0290000	royalblue	21	4	yellow
Os01g0293000	Os01g0293000	turquoise	2	1	turquoise
Os01g0304000	Os01g0304000	darkolivegreen	34	8	pink
Os01g0306800	Os01g0306800	lightcyan1	43	14	cyan
Os01g0310600	Os01g0310600	turquoise	2	1	turquoise
Os01g0320700	Os01g0320700	turquoise	2	1	turquoise
Os01g0324400	Os01g0324400	turquoise	2	1	turquoise
Os01g0328400	Os01g0328400	darkolivegreen	34	8	pink
Os01g0328700	Os01g0328700	lightcyan1	43	14	cyan
Os01g0332800	Os01g0332800	brown	4	2	blue
Os01g0337160	Os01g0337160	turquoise	2	1	turquoise
Os01g0346700	Os01g0346700	brown4	47	17	grey60
Os01g0348700	Os01g0348700	darkolivegreen	34	8	pink
Os01g0349600	Os01g0349600	turquoise	2	1	turquoise
Os01g0353900	Os01g0353900	turquoise	2	1	turquoise
Os01g0358400	Os01g0358400	darkolivegreen	34	8	pink
Os01g0359400	Os01g0359400	turquoise	2	1	turquoise
Os01g0360175	Os01g0360175	turquoise	2	1	turquoise
Os01g0362400	Os01g0362400	turquoise	2	1	turquoise
Os01g0364450	Os01g0364450	turquoise	2	1	turquoise
Os01g0366100	Os01g0366100	turquoise	2	1	turquoise
Os01g0369600	Os01g0369600	turquoise	2	1	turquoise
Os01g0373400	Os01g0373400	turquoise	2	1	turquoise
Os01g0376700	Os01g0376700	brown	4	2	blue
Os01g0380800	Os01g0380800	turquoise	2	1	turquoise
Os01g0498200	Os01g0498200	lightsteelblue1	42	13	salmon
Os01g0501800	Os01g0501800	plum2	50	19	lightyellow
Os01g0511600	Os01g0511600	lightcyan1	43	14	cyan
Os01g0511700	Os01g0511700	turquoise	2	1	turquoise
Os01g0520180	Os01g0520180	turquoise	2	1	turquoise
Os01g0520340	Os01g0520340	turquoise	2	1	turquoise
Os01g0552100	Os01g0552100	turquoise	2	1	turquoise
Os01g0552500	Os01g0552500	turquoise	2	1	turquoise
Os01g0552850	Os01g0552850	turquoise	2	1	turquoise
Os01g0553400	Os01g0553400	turquoise	2	1	turquoise
Os01g0553600	Os01g0553600	turquoise	2	1	turquoise
Os01g0556700	Os01g0556700	brown	4	2	blue
Os01g0564400	Os01g0564400	turquoise	2	1	turquoise
Os01g0578700	Os01g0578700	turquoise	2	1	turquoise
Os01g0584300	Os01g0584300	turquoise	2	1	turquoise
Os01g0585300	Os01g0585300	brown	4	2	blue
Os01g0589800	Os01g0589800	brown	4	2	blue
Os01g0606400	Os01g0606400	turquoise	2	1	turquoise
Os01g0606900	Os01g0606900	darkolivegreen	34	8	pink
Os01g0615050	Os01g0615050	brown	4	2	blue
Os01g0615100	Os01g0615100	brown	4	2	blue
Os01g0618100	Os01g0618100	royalblue	21	4	yellow
Os01g0618400	Os01g0618400	lightcyan1	43	14	cyan
Os01g0622500	Os01g0622500	turquoise	2	1	turquoise
Os01g0630900	Os01g0630900	turquoise	2	1	turquoise
Os01g0637300	Os01g0637300	turquoise	2	1	turquoise
Os01g0639900	Os01g0639900	plum2	50	19	lightyellow
Os01g0646000	Os01g0646000	darkolivegreen	34	8	pink
Os01g0647850	Os01g0647850	turquoise	2	1	turquoise
Os01g0662300	Os01g0662300	lightcyan1	43	14	cyan
Os01g0666600	Os01g0666600	brown4	47	17	grey60
Os01g0666950	Os01g0666950	darkolivegreen	34	8	pink
Os01g0672600	Os01g0672600	turquoise	2	1	turquoise
Os01g0678600	Os01g0678600	lightcyan1	43	14	cyan
Os01g0679700	Os01g0679700	darkolivegreen	34	8	pink
Os01g0681600	Os01g0681600	darkorange2	46	16	lightcyan
Os01g0684800	Os01g0684800	turquoise	2	1	turquoise
Os01g0685100	Os01g0685100	turquoise	2	1	turquoise
Os01g0686100	Os01g0686100	turquoise	2	1	turquoise
Os01g0686800	Os01g0686800	darkolivegreen	34	8	pink
