nodeName	altName	nodeAttr[nodesPresent, ]
Os01g0180800	Os01g0180800	darkgrey
Os01g0757500	Os01g0757500	darkgrey
Os01g0840100	Os01g0840100	darkgrey
Os02g0100300	Os02g0100300	darkgrey
Os02g0115900	Os02g0115900	darkgrey
Os02g0644100	Os02g0644100	darkgrey
Os03g0113700	Os03g0113700	darkgrey
Os03g0265600	Os03g0265600	darkgrey
Os03g0381300	Os03g0381300	darkgrey
Os04g0402100	Os04g0402100	darkgrey
Os05g0187800	Os05g0187800	darkgrey
Os05g0407100	Os05g0407100	darkgrey
Os05g0460000	Os05g0460000	darkgrey
Os06g0116800	Os06g0116800	darkgrey
Os06g0195800	Os06g0195800	darkgrey
Os06g0253100	Os06g0253100	darkgrey
Os07g0246200	Os07g0246200	darkgrey
Os08g0196700	Os08g0196700	darkgrey
Os08g0278900	Os08g0278900	darkgrey
Os08g0500700	Os08g0500700	darkgrey
Os08g0500800	Os08g0500800	darkgrey
Os08g0525600	Os08g0525600	darkgrey
Os09g0451500	Os09g0451500	darkgrey
Os09g0491756	Os09g0491756	darkgrey
Os09g0526600	Os09g0526600	darkgrey
