"Adjusted P value","ID","Description","A & B","A","B","U"
"0.0300557485481103","GO:0005488","binding","4201","6592","6271","10021"
"0.00181813302029271","GO:0046872","metal ion binding","994","6592","1410","10021"
"0.0172889547923047","GO:0043167","ion binding","2136","6592","3131","10021"
"0.000352911863141904","GO:0043169","cation binding","1071","6592","1514","10021"
"5.07025224845299e-07","GO:0046914","transition metal ion binding","767","6592","1042","10021"
"1.89096773727502e-09","GO:0005515","protein binding","1567","6592","2185","10021"
"2.38711696555058e-10","GO:0008270","zinc ion binding","606","6592","786","10021"
"6.07055348029602e-11","GO:0016301","kinase activity","580","6592","745","10021"
"4.04070008151482e-06","GO:0016740","transferase activity","1197","6592","1677","10021"
"8.55427811947407e-09","GO:0016772","transferase activity, transferring phosphorus-containing groups","687","6592","914","10021"
"8.51787988550211e-10","GO:0016773","phosphotransferase activity, alcohol group as acceptor","560","6592","725","10021"
"1.94946175626394e-09","GO:0003677","DNA binding","556","6592","724","10021"
"8.77407446124441e-11","GO:0006468","protein phosphorylation","487","6592","617","10021"
"2.60169563226834e-10","GO:0004672","protein kinase activity","476","6592","605","10021"
"0.000896806541418794","GO:0004713","protein tyrosine kinase activity","193","6592","247","10021"
"3.63350756838987e-11","GO:0006464","cellular protein modification process","650","6592","841","10021"
"2.63381206730603e-07","GO:0006793","phosphorus metabolic process","713","6592","962","10021"
"2.27245457279197e-07","GO:0006796","phosphate-containing compound metabolic process","712","6592","960","10021"
"1.27570210314205e-10","GO:0016310","phosphorylation","548","6592","703","10021"
"3.63350756838987e-11","GO:0036211","protein modification process","650","6592","841","10021"
"1.03492661849211e-09","GO:0043412","macromolecule modification","670","6592","881","10021"
"0.000923730125352779","GO:0005634","nucleus","339","6592","453","10021"
"2.85296210083251e-09","GO:0010468","regulation of gene expression","420","6592","535","10021"
"1.20033114700655e-09","GO:0019222","regulation of metabolic process","457","6592","583","10021"
"1.42525184477437e-09","GO:0050789","regulation of biological process","659","6592","868","10021"
"1.94946175626394e-09","GO:0060255","regulation of macromolecule metabolic process","441","6592","563","10021"
"1.20033114700655e-09","GO:0065007","biological regulation","676","6592","891","10021"
"1.20033114700655e-09","GO:0006355","regulation of transcription, DNA-templated","409","6592","517","10021"
"3.4701658692704e-08","GO:0006351","transcription, DNA-templated","456","6592","591","10021"
"1.94946175626394e-09","GO:0009889","regulation of biosynthetic process","417","6592","530","10021"
"1.94946175626394e-09","GO:0010556","regulation of macromolecule biosynthetic process","417","6592","530","10021"
"0.0330118095790354","GO:0018130","heterocycle biosynthetic process","553","6592","778","10021"
"1.03492661849211e-09","GO:0019219","regulation of nucleobase-containing compound metabolic process","415","6592","524","10021"
"1.16668741230922e-09","GO:0031323","regulation of cellular metabolic process","437","6592","555","10021"
"1.94946175626394e-09","GO:0031326","regulation of cellular biosynthetic process","417","6592","530","10021"
"3.09939963626886e-08","GO:0032774","RNA biosynthetic process","457","6592","592","10021"
"5.39978796264702e-05","GO:0034654","nucleobase-containing compound biosynthetic process","505","6592","681","10021"
"1.03492661849211e-09","GO:0050794","regulation of cellular process","633","6592","829","10021"
"1.89096773727502e-09","GO:0051171","regulation of nitrogen compound metabolic process","421","6592","535","10021"
"1.28149081152326e-09","GO:0051252","regulation of RNA metabolic process","411","6592","520","10021"
"1.88911491340467e-09","GO:0080090","regulation of primary metabolic process","437","6592","557","10021"
"3.4701658692704e-08","GO:0097659","nucleic acid-templated transcription","456","6592","591","10021"
"1.20033114700655e-09","GO:1903506","regulation of nucleic acid-templated transcription","409","6592","517","10021"
"1.94946175626394e-09","GO:2000112","regulation of cellular macromolecule biosynthetic process","417","6592","530","10021"
"1.20033114700655e-09","GO:2001141","regulation of RNA biosynthetic process","409","6592","517","10021"
"3.08158426854935e-09","GO:0004674","protein serine/threonine kinase activity","383","6592","484","10021"
"0.000923730125352779","GO:0003700","DNA-binding transcription factor activity","156","6592","196","10021"
"9.6222609660354e-05","GO:0043565","sequence-specific DNA binding","142","6592","173","10021"
"0.00156223731472238","GO:0007154","cell communication","187","6592","240","10021"
"0.0228083372327265","GO:0051716","cellular response to stimulus","223","6592","298","10021"
"0.0228083372327265","GO:0009725","response to hormone","24","6592","25","10021"
"0.0228083372327265","GO:0009719","response to endogenous stimulus","24","6592","25","10021"
"0.0228083372327265","GO:0010033","response to organic substance","24","6592","25","10021"
"0.0167873973831317","GO:0042221","response to chemical","61","6592","72","10021"
"0.0200527202403302","GO:0051704","multi-organism process","29","6592","31","10021"
