"microarray"	"rnaseq"	"flag"
"Os01g0100100"	"Os01g0100100"	1
"Os01g0100200"	"Os01g0100200"	1
"Os01g0100400"	"Os01g0100400"	1
"Os01g0100500"	"Os01g0100500"	1
"Os01g0100600"	"Os01g0100600"	1
"Os01g0100700"	"Os01g0100700"	1
"Os01g0100800"	"Os01g0100800"	1
"Os01g0100900"	"Os01g0100900"	1
"Os01g0101200"	"Os01g0101200"	1
"Os01g0101300"	"Os01g0101200"	2
"Os01g0101600"	"Os01g0101600"	1
"Os01g0101700"	NA	3
"Os01g0101800"	"Os01g0101800"	1
"Os01g0102000"	"Os01g0102000"	1
"Os01g0102300"	"Os01g0102300"	1
"Os01g0102400"	"Os01g0102400"	1
"Os01g0102500"	"Os01g0102500"	1
"Os01g0102600"	"Os01g0102600"	1
"Os01g0102700"	"Os01g0102700"	1
"Os01g0102800"	"Os01g0102800"	1
"Os01g0102900"	"Os01g0102900"	1
"Os01g0103000"	"Os01g0103000"	1
"Os01g0103100"	"Os01g0103100"	1
"Os01g0103400"	"Os01g0103400"	1
"Os01g0103500"	NA	3
"Os01g0103600"	"Os01g0103600"	1
"Os01g0103700"	"Os01g0103700"	1
"Os01g0103800"	"Os01g0103800"	1
"Os01g0103900"	"Os01g0103900"	1
"Os01g0104000"	"Os01g0104000"	1
"Os01g0104100"	"Os01g0104100"	1
"Os01g0104200"	NA	3
"Os01g0104400"	"Os01g0104400"	1
"Os01g0104500"	"Os01g0104500"	1
"Os01g0104600"	"Os01g0104600"	1
"Os01g0104800"	"Os01g0104800"	1
"Os01g0104900"	"Os01g0104900"	1
"Os01g0105300"	"Os01g0105300"	1
"Os01g0105400"	"Os01g0105400"	1
"Os01g0105500"	NA	3
"Os01g0105700"	"Os01g0105700"	1
"Os01g0105800"	"Os01g0105800"	1
"Os01g0105900"	"Os01g0105900"	1
"Os01g0106200"	"Os01g0106200"	1
"Os01g0106300"	"Os01g0106300"	1
"Os01g0106400"	"Os01g0106400"	1
"Os01g0106500"	"Os01g0106500"	1
