Env_ID LD.trtmt Tmp.trtmt L.Tmp D.Tmp L D
1 1 0L24D 15_15 NA 15 0 24
2 2 0L24D 20_20 NA 20 0 24
3 3 0L24D 25_25 NA 25 0 24
4 4 0L24D 30_30 NA 30 0 24
5 5 0L24D 35_35 NA 35 0 24
6 6 8L16D 20_15 20 15 8 16
7 7 8L16D 25_20 25 20 8 16
8 8 8L16D 30_25 30 25 8 16
9 9 8L16D 35_30 35 30 8 16
10 10 8L16D 40_35 40 35 8 16
11 11 8L16D 25_15 25 15 8 16
12 12 8L16D 30_20 30 20 8 16
13 13 8L16D 35_25 35 25 8 16
14 14 8L16D 40_30 40 30 8 16
15 15 8L16D 30_15 30 15 8 16
16 16 8L16D 35_20 35 20 8 16
17 17 8L16D 40_25 40 25 8 16
18 18 8L16D 35_15 35 15 8 16
19 19 8L16D 40_20 40 20 8 16
20 20 8L16D 40_15 40 15 8 16
21 21 8L16D 25_20 20 25 8 16
22 22 8L16D 30_25 25 30 8 16
23 23 8L16D 35_30 30 35 8 16
24 24 8L16D 30_20 20 30 8 16
25 25 8L16D 35_25 25 35 8 16
26 26 8L16D 35_20 20 35 8 16
27 27 12L12D 20_15 20 15 12 12
28 28 12L12D 25_20 25 20 12 12
29 29 12L12D 30_25 30 25 12 12
30 30 12L12D 35_30 35 30 12 12
31 31 12L12D 40_35 40 35 12 12
32 32 12L12D 25_15 25 15 12 12
33 33 12L12D 30_20 30 20 12 12
34 34 12L12D 35_25 35 25 12 12
35 35 12L12D 40_30 40 30 12 12
36 36 12L12D 30_15 30 15 12 12
37 37 12L12D 35_20 35 20 12 12
38 38 12L12D 40_25 40 25 12 12
39 39 12L12D 35_15 35 15 12 12
40 40 12L12D 40_20 40 20 12 12
41 41 12L12D 40_15 40 15 12 12
42 42 12L12D 25_20 20 25 12 12
43 43 12L12D 30_25 25 30 12 12
44 44 12L12D 35_30 30 35 12 12
45 45 12L12D 30_20 20 30 12 12
46 46 12L12D 35_25 25 35 12 12
47 47 12L12D 35_20 20 35 12 12
48 48 16L8D 20_15 20 15 16 8
49 49 16L8D 25_20 25 20 16 8
50 50 16L8D 30_25 30 25 16 8
51 51 16L8D 35_30 35 30 16 8
52 52 16L8D 40_35 40 35 16 8
53 53 16L8D 25_15 25 15 16 8
54 54 16L8D 30_20 30 20 16 8
55 55 16L8D 35_25 35 25 16 8
56 56 16L8D 40_30 40 30 16 8
57 57 16L8D 30_15 30 15 16 8
58 58 16L8D 35_20 35 20 16 8
59 59 16L8D 40_25 40 25 16 8
60 60 16L8D 35_15 35 15 16 8
61 61 16L8D 40_20 40 20 16 8
62 62 16L8D 40_15 40 15 16 8
63 63 16L8D 25_20 20 25 16 8
64 64 16L8D 30_25 25 30 16 8
65 65 16L8D 35_30 30 35 16 8
66 66 16L8D 30_20 20 30 16 8
67 67 16L8D 35_25 25 35 16 8
68 68 16L8D 35_20 20 35 16 8
69 69 24L0D 20_20 20 NA 24 0
70 70 24L0D 25_25 25 NA 24 0
71 71 24L0D 30_30 30 NA 24 0
72 72 24L0D 35_35 35 NA 24 0
73 73 24L0D 40_40 40 NA 24 0
