"Adjusted P value","ID","Description","A & B","A","B","U"
"1.00088452640668e-07","GO:0015031","protein transport","75","1711","211","10021"
"3.38670547474071e-07","GO:0008104","protein localization","75","1711","222","10021"
"1.32810129176054e-05","GO:0033036","macromolecule localization","79","1711","260","10021"
"1.18763119435818e-07","GO:0045184","establishment of protein localization","75","1711","216","10021"
"0.000766439497521237","GO:0071702","organic substance transport","86","1711","321","10021"
"0.000389316624173013","GO:0009057","macromolecule catabolic process","46","1711","139","10021"
"0.000511919116878683","GO:0044265","cellular macromolecule catabolic process","36","1711","100","10021"
"1.80555359452192e-05","GO:0098796","membrane protein complex","52","1711","149","10021"
"5.51654706305025e-07","GO:0034613","cellular protein localization","60","1711","165","10021"
"1.72453854758559e-05","GO:0051641","cellular localization","70","1711","223","10021"
"5.51654706305025e-07","GO:0070727","cellular macromolecule localization","60","1711","165","10021"
"0.000353245635935408","GO:0051603","proteolysis involved in cellular protein catabolic process","32","1711","83","10021"
"6.31415082107282e-06","GO:0030163","protein catabolic process","42","1711","106","10021"
"0.000353245635935408","GO:0044257","cellular protein catabolic process","32","1711","83","10021"
"1.00088452640668e-07","GO:0006886","intracellular protein transport","60","1711","154","10021"
"3.38670547474071e-07","GO:0016192","vesicle-mediated transport","52","1711","132","10021"
"1.45244137323074e-06","GO:0046907","intracellular transport","63","1711","181","10021"
"2.36095334229113e-06","GO:0051649","establishment of localization in cell","70","1711","212","10021"
"1.18763119435818e-07","GO:0030117","membrane coat","26","1711","43","10021"
"0.0382027700731074","GO:0030126","COPI vesicle coat","6","1711","8","10021"
"1.18763119435818e-07","GO:0048475","coated membrane","26","1711","43","10021"
"0.0382027700731074","GO:0030137","COPI-coated vesicle","6","1711","8","10021"
"0.0126163986812646","GO:0012506","vesicle membrane","10","1711","17","10021"
"0.0126163986812646","GO:0030120","vesicle coat","10","1711","17","10021"
"0.0126163986812646","GO:0030135","coated vesicle","10","1711","17","10021"
"0.0126163986812646","GO:0030659","cytoplasmic vesicle membrane","10","1711","17","10021"
"0.0126163986812646","GO:0030662","coated vesicle membrane","10","1711","17","10021"
"0.0382027700731074","GO:0030663","COPI-coated vesicle membrane","6","1711","8","10021"
"0.0218634201604211","GO:0031410","cytoplasmic vesicle","10","1711","18","10021"
"0.0218634201604211","GO:0031982","vesicle","10","1711","18","10021"
"0.0382027700731074","GO:0006075","(1->3)-beta-D-glucan biosynthetic process","6","1711","8","10021"
"0.0382027700731074","GO:0000148","1,3-beta-D-glucan synthase complex","6","1711","8","10021"
"0.0382027700731074","GO:0003843","1,3-beta-D-glucan synthase activity","6","1711","8","10021"
"0.0382027700731074","GO:0006074","(1->3)-beta-D-glucan metabolic process","6","1711","8","10021"
"0.00254783720977594","GO:0005886","plasma membrane","13","1711","23","10021"
"0.0218634201604211","GO:0098797","plasma membrane protein complex","9","1711","15","10021"
"5.72563783559886e-05","GO:0005839","proteasome core complex","15","1711","23","10021"
"5.72563783559886e-05","GO:0004298","threonine-type endopeptidase activity","15","1711","23","10021"
"4.83415279862955e-06","GO:0000502","proteasome complex","19","1711","30","10021"
"5.72563783559886e-05","GO:0070003","threonine-type peptidase activity","15","1711","23","10021"
