"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0111900"	"Glutelin family protein."	"SIP34"
"Os01g0120300"	"Similar to EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding."	"-"
"Os01g0141600"	"Protein of unknown function DUF647 family protein."	"OsRUS5"
"Os01g0168500"	"WD40 repeat-like domain containing protein."	"OsATG18b, OsWD40-3"
"Os01g0224500"	"Conserved hypothetical protein."	"-"
"Os01g0271700"	"Conserved hypothetical protein."	"-"
"Os01g0351300"	"Exocyst complex subunit Sec15-like family protein."	"-"
"Os01g0372700"	"Similar to Asparaginyl-tRNA synthetase, cytoplasmic 1 (EC 6.1.1.22) (Asparagine-- tRNA ligase 1) (AsnRS 1)."	"-"
"Os01g0382700"	"Similar to stress regulated protein."	"-"
"Os01g0507900"	"Similar to NClpP3 (ATP-dependent Clp protease proteolytic subunit ClpP3)."	"OsClpP3, OsClp2, CLP2"
"Os01g0511600"	"Similar to lrgB-like family protein."	"-"
"Os01g0583100"	"Similar to Protein phosphatase 2C."	"OsPP2C06/OsABI2, OsPP2C06, OsPP2C6, PP2C96, OsABI2, OsPP10, ABI2, OsABIL1, ABIL1"
"Os01g0678100"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"Os01g0700000"	"Conserved hypothetical protein."	"-"
"Os01g0754500"	"Protein of unknown function DUF1421 family protein."	"-"
"Os01g0808100"	"Similar to BZIP transcription factor."	"OsbZIP08, OsbZIP8"
"Os01g0822800"	"Similar to RING-H2 finger protein ATL3C."	"-"
"Os01g0839200"	"DUF966 family protein, Abiotic stress response"	"OsDSR2"
"Os01g0872800"	"Similar to 3-phosphoinositide-dependent protein kinase-1 (Fragment)."	"PDK1, OsPdk1, Pdk1"
"Os01g0889200"	"Conserved hypothetical protein."	"-"
"Os01g0911300"	"Similar to Transporter associated with antigen processing-like protein."	"OsABCB24"
"Os01g0917400"	"Zinc finger, CCCH-type domain containing protein."	"OsC3H12"
"Os01g0928800"	"Similar to Serine palmitoyltransferase."	"OsLCB2a1, LCB2a1"
"Os01g0954400"	"Similar to Hydroxyproline-rich glycoprotein DZ-HRGP precursor."	"OsRFP"
"Os01g0959000"	"Nucleotide-binding, alpha-beta plait domain containing protein."	"-"
"Os01g0963600"	"ABA/WDS induced protein family protein."	"OsAsr2, OsASR4, OsASR6"
"Os01g0973300"	"Armadillo-like helical domain containing protein."	"-"
"Os02g0107000"	"Sec63 domain domain containing protein."	"-"
"Os02g0116000"	"Zinc finger, C2H2 domain containing protein."	"-"
"Os02g0135700"	"DNA polymerase V family protein."	"-"
"Os02g0175900"	"Mitotic checkpoint protein PRCC, C-terminal domain containing protein."	"-"
"Os02g0193800"	"Similar to cDNA clone:002-103-F09, full insert sequence."	"-"
"Os02g0489400"	"Similar to 40S ribosomal protein S8."	"S8"
"Os02g0519300"	"Similar to H0112G12.10 protein."	"-"
"Os02g0521700"	"Similar to Thioesterase family protein."	"-"
"Os02g0563800"	"Cyclin-like F-box domain containing protein."	"OsFbox097, OsFbox97, Os_F0402"
"Os02g0572400"	"Similar to Riboflavin biosynthesis protein ribA, chloroplast precursor [Includes: GTP cyclohydrolase II (EC 3.5.4.25); 3, 4-dihydroxy-2-butanone 4- phosphate synthase (DHBP synthase)]."	"-"
"Os02g0591900"	"Protein kinase, catalytic domain domain containing protein."	"-"
"Os02g0592500"	"Folate receptor, conserved region domain containing protein."	"-"
"Os02g0593700"	"Similar to TA4 protein (Fragment)."	"-"
"Os02g0597900"	"Similar to B-keto acyl reductase."	"-"
"Os02g0644100"	"Similar to Heat shock protein STI (Stress inducible protein) (GmSTI)."	"-"
"Os02g0656500"	"DnaJ-like protein."	"OsDjA1"
"Os02g0665000"	"Similar to Malic enzyme."	"-"
"Os02g0697700"	"Conserved hypothetical protein."	"-"
