"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0186200"	"Similar to Phototropin."	"-"
"Os01g0194300"	"Ankyrin-repeat protein, Herbivore-induced defense response, Blast disease resistance"	"OsNH1, OsNPR1, OsNPR1/NH1, NPR1, OsPR2, PR2"
"Os01g0227400"	"Similar to Cytochrome P450 71A1 (EC 1.14.-.-) (CYPLXXIA1) (ARP-2)."	"-"
"Os01g0271500"	"Similar to RUB-activating enzyme (Ubiquitin activating enzyme E1-like protein)."	"-"
"Os01g0281100"	"Conserved hypothetical protein."	"-"
"Os01g0369600"	"Conserved hypothetical protein."	"-"
"Os01g0386700"	"Similar to BSK1 (BR-SIGNALING KINASE 1); ATP binding / binding / kinase/ protein kinase/ protein tyrosine kinase."	"-"
"Os01g0500600"	"Hypothetical protein."	"-"
"Os01g0559900"	"Non-protein coding transcript."	"OsAGP14, OsAGPEP2"
"Os01g0574500"	"ATPase, AAA-type, core domain containing protein."	"OsFtsH5, FtsH5"
"Os01g0666800"	"Similar to predicted protein."	"-"
"Os01g0694900"	"Epsin-like, N-terminal domain containing protein."	"-"
"Os01g0739400"	"Similar to predicted protein."	"-"
"Os01g0811300"	"Similar to SET domain protein SDG111."	"OsSET4, SDG709, OsSUVH7"
"Os01g0816400"	"Similar to Microtubule bundling polypeptide TMBP200."	"-"
"Os01g0880200"	"Similar to secondary cell wall-related glycosyltransferase family 8."	"-"
"Os01g0918100"	"Conserved hypothetical protein."	"-"
"Os01g0931300"	"Tafazzin family protein."	"-"
"Os01g0960800"	"Protein Transporter, Pam16 family protein."	"-"
"Os02g0143100"	"Similar to Sucrose-phosphatase (EC 3.1.3.24)."	"-"
"Os02g0145600"	"Conserved hypothetical protein."	"-"
"Os02g0169900"	"Inositol monophosphatase family protein."	"OsIMP-2, IMP-2"
"Os02g0170200"	"Similar to splicing factor, arginine/serine-rich 12."	"-"
"Os02g0215000"	"Conserved hypothetical protein."	"-"
"Os02g0266800"	"Transcriptional activator protein."	"OsbZIP20, RITA-1, RISBZ3"
"Os02g0299300"	"Similar to cDNA clone:J023112L03, full insert sequence."	"-"
"Os02g0306100"	"Similar to cation cation antiporter."	"-"
"Os02g0319800"	"WD40 repeat-like domain containing protein."	"OsWD40-43"
"Os02g0324300"	"Protein of unknown function DUF572 family protein."	"-"
"Os02g0510000"	"Similar to Chaperone protein dnaJ."	"OsDjC18"
"Os02g0577900"	"Conserved hypothetical protein."	"-"
"Os02g0608900"	"Similar to Epstein-Barr virus (B95-8 isolate) U2-IR2 domain encoding nuclear protein EBNA2, complete cds."	"-"
"Os02g0610700"	"Conserved hypothetical protein."	"-"
"Os02g0634800"	"Ubiquitin-conjugating enzyme/RWD-like domain containing protein."	"UBC, OsUBC32, UBC32"
"Os02g0646500"	"Aldehyde dehydrogenase domain containing protein."	"OS-ALDH, OsALDH3E1"
