"Adjusted P value","ID","Description","A & B","A","B","U"
"1.36979598713062e-08","GO:0005622","intracellular anatomical structure","1358","6478","1907","10021"
"0.0387749607808429","GO:0003676","nucleic acid binding","1015","6478","1483","10021"
"3.74507057787723e-07","GO:0006412","translation","319","6478","408","10021"
"3.57912742569512e-06","GO:0005840","ribosome","233","6478","293","10021"
"2.46434155741502e-06","GO:0003723","RNA binding","246","6478","310","10021"
"4.07838580869153e-06","GO:0003735","structural constituent of ribosome","232","6478","292","10021"
"3.74507057787723e-07","GO:0006518","peptide metabolic process","333","6478","427","10021"
"0.00246367016567425","GO:0006807","nitrogen compound metabolic process","1270","6478","1848","10021"
"0.0308700952574802","GO:0010467","gene expression","794","6478","1148","10021"
"0.000523492169023599","GO:0034641","cellular nitrogen compound metabolic process","1145","6478","1650","10021"
"3.74507057787723e-07","GO:0043043","peptide biosynthetic process","324","6478","415","10021"
"3.07915834514834e-08","GO:0043603","cellular amide metabolic process","356","6478","453","10021"
"1.62884671971055e-07","GO:0043604","amide biosynthetic process","339","6478","433","10021"
"7.72199987972867e-06","GO:1901564","organonitrogen compound metabolic process","659","6478","906","10021"
"3.74507057787723e-07","GO:1901566","organonitrogen compound biosynthetic process","522","6478","696","10021"
"1.14061479937987e-08","GO:0005737","cytoplasm","671","6478","896","10021"
"1.25262179957033e-05","GO:0032991","protein-containing complex","604","6478","828","10021"
"1.34395718118097e-05","GO:0043226","organelle","778","6478","1084","10021"
"8.69430961776668e-06","GO:0043228","non-membrane-bounded organelle","319","6478","416","10021"
"1.34395718118097e-05","GO:0043229","intracellular organelle","778","6478","1084","10021"
"8.69430961776668e-06","GO:0043232","intracellular non-membrane-bounded organelle","319","6478","416","10021"
"2.73456391456627e-06","GO:0005198","structural molecule activity","268","6478","341","10021"
"0.0375760512091279","GO:0004386","helicase activity","89","6478","112","10021"
"0.000160156337463101","GO:0015031","protein transport","168","6478","211","10021"
"0.000159531044900801","GO:0008104","protein localization","176","6478","222","10021"
"0.00107085965731219","GO:0033036","macromolecule localization","200","6478","260","10021"
"0.000245530048994871","GO:0045184","establishment of protein localization","171","6478","216","10021"
"0.0428116233170829","GO:0071702","organic substance transport","235","6478","321","10021"
"0.0308700952574802","GO:0071840","cellular component organization or biogenesis","207","6478","279","10021"
"0.00254276945591884","GO:0034660","ncRNA metabolic process","93","6478","113","10021"
"1.64628064376971e-05","GO:0034613","cellular protein localization","137","6478","165","10021"
"0.000484848568581224","GO:0051641","cellular localization","175","6478","223","10021"
"1.64628064376971e-05","GO:0070727","cellular macromolecule localization","137","6478","165","10021"
"1.49738196704126e-05","GO:0006886","intracellular protein transport","129","6478","154","10021"
"0.000412514910545448","GO:0046907","intracellular transport","145","6478","181","10021"
"0.000506889180055627","GO:0051649","establishment of localization in cell","167","6478","212","10021"
"0.0214301278129579","GO:0006396","RNA processing","105","6478","133","10021"
"0.0407003097798834","GO:0009451","RNA modification","34","6478","38","10021"
"0.0315310619109991","GO:0034470","ncRNA processing","45","6478","52","10021"
