"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0120300"	"Similar to EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding."	"-"
"Os01g0224500"	"Conserved hypothetical protein."	"-"
"Os01g0271500"	"Similar to RUB-activating enzyme (Ubiquitin activating enzyme E1-like protein)."	"-"
"Os01g0271700"	"Conserved hypothetical protein."	"-"
"Os01g0303800"	"UspA domain containing protein."	"-"
"Os01g0369600"	"Conserved hypothetical protein."	"-"
"Os01g0382700"	"Similar to stress regulated protein."	"-"
"Os01g0500600"	"Hypothetical protein."	"-"
"Os01g0507900"	"Similar to NClpP3 (ATP-dependent Clp protease proteolytic subunit ClpP3)."	"OsClpP3, OsClp2, CLP2"
"Os01g0511600"	"Similar to lrgB-like family protein."	"-"
"Os01g0583100"	"Similar to Protein phosphatase 2C."	"OsPP2C06/OsABI2, OsPP2C06, OsPP2C6, PP2C96, OsABI2, OsPP10, ABI2, OsABIL1, ABIL1"
"Os01g0666800"	"Similar to predicted protein."	"-"
"Os01g0678100"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"Os01g0700000"	"Conserved hypothetical protein."	"-"
"Os01g0754500"	"Protein of unknown function DUF1421 family protein."	"-"
"Os01g0816400"	"Similar to Microtubule bundling polypeptide TMBP200."	"-"
"Os01g0872800"	"Similar to 3-phosphoinositide-dependent protein kinase-1 (Fragment)."	"PDK1, OsPdk1, Pdk1"
"Os01g0889200"	"Conserved hypothetical protein."	"-"
"Os01g0911300"	"Similar to Transporter associated with antigen processing-like protein."	"OsABCB24"
"Os01g0917400"	"Zinc finger, CCCH-type domain containing protein."	"OsC3H12"
"Os01g0928800"	"Similar to Serine palmitoyltransferase."	"OsLCB2a1, LCB2a1"
"Os01g0954400"	"Similar to Hydroxyproline-rich glycoprotein DZ-HRGP precursor."	"OsRFP"
"Os01g0973300"	"Armadillo-like helical domain containing protein."	"-"
"Os02g0116000"	"Zinc finger, C2H2 domain containing protein."	"-"
"Os02g0170200"	"Similar to splicing factor, arginine/serine-rich 12."	"-"
"Os02g0306100"	"Similar to cation cation antiporter."	"-"
"Os02g0319800"	"WD40 repeat-like domain containing protein."	"OsWD40-43"
"Os02g0324300"	"Protein of unknown function DUF572 family protein."	"-"
"Os02g0489400"	"Similar to 40S ribosomal protein S8."	"S8"
"Os02g0519300"	"Similar to H0112G12.10 protein."	"-"
"Os02g0521700"	"Similar to Thioesterase family protein."	"-"
