"Adjusted P value","ID","Description","A & B","A","B","U"
"2.48259148420875e-07","GO:0015031","protein transport","75","1750","211","10021"
"9.65403254381479e-07","GO:0008104","protein localization","75","1750","222","10021"
"3.55310951744885e-05","GO:0033036","macromolecule localization","79","1750","260","10021"
"3.29785691737109e-07","GO:0045184","establishment of protein localization","75","1750","216","10021"
"0.00188252878548077","GO:0071702","organic substance transport","86","1750","321","10021"
"0.0423445240494432","GO:0006508","proteolysis","80","1750","323","10021"
"0.000729845773494315","GO:0009057","macromolecule catabolic process","46","1750","139","10021"
"0.000871341682971877","GO:0044265","cellular macromolecule catabolic process","36","1750","100","10021"
"3.99489491010983e-05","GO:0098796","membrane protein complex","52","1750","149","10021"
"1.34795131138354e-06","GO:0034613","cellular protein localization","60","1750","165","10021"
"3.99489491010983e-05","GO:0051641","cellular localization","70","1750","223","10021"
"1.34795131138354e-06","GO:0070727","cellular macromolecule localization","60","1750","165","10021"
"0.000581995345640741","GO:0051603","proteolysis involved in cellular protein catabolic process","32","1750","83","10021"
"1.23081913523689e-05","GO:0030163","protein catabolic process","42","1750","106","10021"
"0.000581995345640741","GO:0044257","cellular protein catabolic process","32","1750","83","10021"
"2.48259148420875e-07","GO:0006886","intracellular protein transport","60","1750","154","10021"
"8.95517741619053e-07","GO:0016192","vesicle-mediated transport","52","1750","132","10021"
"3.58373960444183e-06","GO:0046907","intracellular transport","63","1750","181","10021"
"6.13417294864274e-06","GO:0051649","establishment of localization in cell","70","1750","212","10021"
"2.48259148420875e-07","GO:0030117","membrane coat","26","1750","43","10021"
"0.0423445240494432","GO:0030126","COPI vesicle coat","6","1750","8","10021"
"2.48259148420875e-07","GO:0048475","coated membrane","26","1750","43","10021"
"0.0423445240494432","GO:0030137","COPI-coated vesicle","6","1750","8","10021"
"0.0153622956569801","GO:0012506","vesicle membrane","10","1750","17","10021"
"0.0153622956569801","GO:0030120","vesicle coat","10","1750","17","10021"
"0.0153622956569801","GO:0030135","coated vesicle","10","1750","17","10021"
"0.0153622956569801","GO:0030659","cytoplasmic vesicle membrane","10","1750","17","10021"
"0.0153622956569801","GO:0030662","coated vesicle membrane","10","1750","17","10021"
"0.0423445240494432","GO:0030663","COPI-coated vesicle membrane","6","1750","8","10021"
"0.0265134854001153","GO:0031410","cytoplasmic vesicle","10","1750","18","10021"
"0.0265134854001153","GO:0031982","vesicle","10","1750","18","10021"
"0.0423445240494432","GO:0006075","(1->3)-beta-D-glucan biosynthetic process","6","1750","8","10021"
"0.0423445240494432","GO:0000148","1,3-beta-D-glucan synthase complex","6","1750","8","10021"
"0.0423445240494432","GO:0003843","1,3-beta-D-glucan synthase activity","6","1750","8","10021"
"0.0423445240494432","GO:0006074","(1->3)-beta-D-glucan metabolic process","6","1750","8","10021"
"0.00327618755628231","GO:0005886","plasma membrane","13","1750","23","10021"
"0.0263885418294007","GO:0098797","plasma membrane protein complex","9","1750","15","10021"
"7.76621973427643e-05","GO:0005839","proteasome core complex","15","1750","23","10021"
"7.76621973427643e-05","GO:0004298","threonine-type endopeptidase activity","15","1750","23","10021"
"7.08364729868553e-06","GO:0000502","proteasome complex","19","1750","30","10021"
"7.76621973427643e-05","GO:0070003","threonine-type peptidase activity","15","1750","23","10021"
