"Adjusted P value","ID","Description","A & B","A","B","U"
"1.37242128960569e-07","GO:0005622","intracellular anatomical structure","829","3744","1907","10021"
"0.00236593954936531","GO:0003676","nucleic acid binding","625","3744","1483","10021"
"5.59320503639105e-15","GO:0006412","translation","237","3744","408","10021"
"1.08196544156699e-14","GO:0005840","ribosome","180","3744","293","10021"
"8.45850952753231e-11","GO:0003723","RNA binding","178","3744","310","10021"
"1.55982115863883e-14","GO:0003735","structural constituent of ribosome","179","3744","292","10021"
"8.33330436041342e-15","GO:0006518","peptide metabolic process","245","3744","427","10021"
"6.80722250041576e-06","GO:0006807","nitrogen compound metabolic process","792","3744","1848","10021"
"0.0394421846055513","GO:0009058","biosynthetic process","682","3744","1667","10021"
"0.0168831106322439","GO:0009059","macromolecule biosynthetic process","479","3744","1135","10021"
"0.0159207792008209","GO:0009987","cellular process","1664","3744","4225","10021"
"8.09762455020481e-06","GO:0010467","gene expression","512","3744","1148","10021"
"2.61075001436875e-06","GO:0019538","protein metabolic process","761","3744","1761","10021"
"1.44118520678773e-06","GO:0034641","cellular nitrogen compound metabolic process","719","3744","1650","10021"
"0.0124278519582793","GO:0034645","cellular macromolecule biosynthetic process","479","3744","1131","10021"
"8.67556667046512e-15","GO:0043043","peptide biosynthetic process","239","3744","415","10021"
"0.000190869965479667","GO:0043170","macromolecule metabolic process","1114","3744","2710","10021"
"5.11591821356069e-15","GO:0043603","cellular amide metabolic process","259","3744","453","10021"
"9.89673231963376e-15","GO:0043604","amide biosynthetic process","247","3744","433","10021"
"0.00154155504826359","GO:0044237","cellular metabolic process","1343","3744","3337","10021"
"0.0105014540533692","GO:0044249","cellular biosynthetic process","642","3744","1544","10021"
"8.47558948177171e-05","GO:0044260","cellular macromolecule metabolic process","1013","3744","2439","10021"
"6.20709773474288e-07","GO:0044267","cellular protein metabolic process","664","3744","1505","10021"
"0.00174938901680093","GO:0044271","cellular nitrogen compound biosynthetic process","505","3744","1176","10021"
"0.021240383610259","GO:0071704","organic substance metabolic process","1508","3744","3817","10021"
"9.88993315415414e-11","GO:1901564","organonitrogen compound metabolic process","440","3744","906","10021"
"7.17590880312891e-12","GO:1901566","organonitrogen compound biosynthetic process","355","3744","696","10021"
"0.0376788802425437","GO:1901576","organic substance biosynthetic process","647","3744","1575","10021"
"1.63770111332553e-12","GO:0005737","cytoplasm","444","3744","896","10021"
"9.59979218133814e-07","GO:0032991","protein-containing complex","387","3744","828","10021"
"0.00117468941665074","GO:0043226","organelle","470","3744","1084","10021"
"5.52222223003934e-08","GO:0043228","non-membrane-bounded organelle","217","3744","416","10021"
"0.00117468941665074","GO:0043229","intracellular organelle","470","3744","1084","10021"
"5.52222223003934e-08","GO:0043232","intracellular non-membrane-bounded organelle","217","3744","416","10021"
"0.00283523506668661","GO:0044391","ribosomal subunit","29","3744","42","10021"
"2.28323513729744e-10","GO:0005198","structural molecule activity","191","3744","341","10021"
"0.024770860178287","GO:0004386","helicase activity","60","3744","112","10021"
"0.000207113920063384","GO:0034660","ncRNA metabolic process","67","3744","113","10021"
"0.0402536015831311","GO:0009057","macromolecule catabolic process","71","3744","139","10021"
"0.00997834385530607","GO:0044265","cellular macromolecule catabolic process","56","3744","100","10021"
"0.0394421846055513","GO:0051603","proteolysis involved in cellular protein catabolic process","46","3744","83","10021"
"0.0159207792008209","GO:0030163","protein catabolic process","58","3744","106","10021"
"0.0394421846055513","GO:0044257","cellular protein catabolic process","46","3744","83","10021"
"0.00030114021406012","GO:0006396","RNA processing","76","3744","133","10021"
"0.00245069357174088","GO:0009451","RNA modification","27","3744","38","10021"
"0.0248777061432302","GO:0034470","ncRNA processing","32","3744","52","10021"
"0.0394421846055513","GO:0001522","pseudouridine synthesis","14","3744","18","10021"
