"Adjusted P value","ID","Description","A & B","A","B","U"
"1.58064248948553e-28","GO:0005622","intracellular anatomical structure","179","416","1907","10021"
"1.5180610859236e-14","GO:0005575","cellular_component","204","416","3025","10021"
"1.47673236714559e-05","GO:0008152","metabolic process","257","416","4962","10021"
"0.0287825417750895","GO:0008150","biological_process","294","416","6305","10021"
"2.46131769966345e-66","GO:0006412","translation","117","416","408","10021"
"2.94669211080175e-73","GO:0005840","ribosome","108","416","293","10021"
"5.06728974726986e-06","GO:0015935","small ribosomal subunit","9","416","21","10021"
"4.61006942528338e-07","GO:0003723","RNA binding","37","416","310","10021"
"2.94669211080175e-73","GO:0003735","structural constituent of ribosome","108","416","292","10021"
"6.00005310326729e-67","GO:0006518","peptide metabolic process","120","416","427","10021"
"4.31827510174495e-26","GO:0006807","nitrogen compound metabolic process","171","416","1848","10021"
"3.43262695772971e-24","GO:0009058","biosynthetic process","157","416","1667","10021"
"6.01484021802131e-32","GO:0009059","macromolecule biosynthetic process","138","416","1135","10021"
"2.53916663358757e-09","GO:0009987","cellular process","241","416","4225","10021"
"5.253486278525e-32","GO:0010467","gene expression","139","416","1148","10021"
"1.45515235225851e-21","GO:0019538","protein metabolic process","157","416","1761","10021"
"2.31137902277943e-28","GO:0034641","cellular nitrogen compound metabolic process","164","416","1650","10021"
"4.5090025127285e-32","GO:0034645","cellular macromolecule biosynthetic process","138","416","1131","10021"
"1.99212253367454e-66","GO:0043043","peptide biosynthetic process","118","416","415","10021"
"3.8103412071012e-14","GO:0043170","macromolecule metabolic process","188","416","2710","10021"
"5.2319536902928e-64","GO:0043603","cellular amide metabolic process","120","416","453","10021"
"2.85472273048712e-64","GO:0043604","amide biosynthetic process","118","416","433","10021"
"5.08120450397493e-12","GO:0044237","cellular metabolic process","211","416","3337","10021"
"1.30619294874477e-08","GO:0044238","primary metabolic process","213","416","3635","10021"
"2.57159900220735e-26","GO:0044249","cellular biosynthetic process","154","416","1544","10021"
"4.15730608239891e-16","GO:0044260","cellular macromolecule metabolic process","180","416","2439","10021"
"1.93706388402973e-25","GO:0044267","cellular protein metabolic process","150","416","1505","10021"
"1.5099863732985e-34","GO:0044271","cellular nitrogen compound biosynthetic process","145","416","1176","10021"
"1.29822308677036e-08","GO:0071704","organic substance metabolic process","221","416","3817","10021"
"1.75203910578869e-45","GO:1901564","organonitrogen compound metabolic process","141","416","906","10021"
"2.33817460666035e-52","GO:1901566","organonitrogen compound biosynthetic process","132","416","696","10021"
"2.17476945197245e-25","GO:1901576","organic substance biosynthetic process","154","416","1575","10021"
"7.73277944830833e-47","GO:0005737","cytoplasm","142","416","896","10021"
"9.27423710891315e-42","GO:0032991","protein-containing complex","130","416","828","10021"
"8.16272665335619e-33","GO:0043226","organelle","136","416","1084","10021"
"2.81481447526763e-62","GO:0043228","non-membrane-bounded organelle","114","416","416","10021"
"8.16272665335619e-33","GO:0043229","intracellular organelle","136","416","1084","10021"
"2.81481447526763e-62","GO:0043232","intracellular non-membrane-bounded organelle","114","416","416","10021"
"2.11202763757706e-11","GO:0044391","ribosomal subunit","17","416","42","10021"
"1.01228956302149e-67","GO:0005198","structural molecule activity","110","416","341","10021"
"7.92197832798775e-05","GO:0015934","large ribosomal subunit","8","416","21","10021"
"0.00267047806716501","GO:0006414","translational elongation","8","416","32","10021"
"0.0043338037445015","GO:0019843","rRNA binding","6","416","18","10021"
"0.0194698968937719","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","3","416","4","10021"
"0.0450762629912612","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","3","416","5","10021"
