"Adjusted P value","ID","Description","A & B","A","B","U"
"3.89396839522904e-09","GO:0005622","intracellular anatomical structure","1293","6103","1907","10021"
"0.00977796565989417","GO:0005575","cellular_component","1926","6103","3025","10021"
"6.57216614285938e-08","GO:0006412","translation","308","6103","408","10021"
"3.59791227023436e-06","GO:0005840","ribosome","223","6103","293","10021"
"3.66014594974369e-05","GO:0003723","RNA binding","231","6103","310","10021"
"4.24499302915364e-06","GO:0003735","structural constituent of ribosome","222","6103","292","10021"
"9.73444310585125e-08","GO:0006518","peptide metabolic process","320","6103","427","10021"
"0.00121699763905369","GO:0006807","nitrogen compound metabolic process","1206","6103","1848","10021"
"0.000592202120203191","GO:0034641","cellular nitrogen compound metabolic process","1085","6103","1650","10021"
"9.73444310585125e-08","GO:0043043","peptide biosynthetic process","312","6103","415","10021"
"1.04258947748119e-08","GO:0043603","cellular amide metabolic process","342","6103","453","10021"
"3.81401304208529e-08","GO:0043604","amide biosynthetic process","326","6103","433","10021"
"4.83672798123603e-09","GO:1901564","organonitrogen compound metabolic process","646","6103","906","10021"
"3.1084849818373e-08","GO:1901566","organonitrogen compound biosynthetic process","503","6103","696","10021"
"7.62573040654621e-11","GO:0005737","cytoplasm","649","6103","896","10021"
"2.62689824371718e-06","GO:0032991","protein-containing complex","579","6103","828","10021"
"3.78145838923563e-05","GO:0043226","organelle","736","6103","1084","10021"
"2.62689824371718e-06","GO:0043228","non-membrane-bounded organelle","307","6103","416","10021"
"3.78145838923563e-05","GO:0043229","intracellular organelle","736","6103","1084","10021"
"2.62689824371718e-06","GO:0043232","intracellular non-membrane-bounded organelle","307","6103","416","10021"
"4.91660625144032e-07","GO:0005198","structural molecule activity","259","6103","341","10021"
"0.0451100949616054","GO:0004386","helicase activity","85","6103","112","10021"
"0.0022717881277581","GO:0015031","protein transport","157","6103","211","10021"
"0.0027820767229776","GO:0008104","protein localization","164","6103","222","10021"
"0.0103543236710476","GO:0033036","macromolecule localization","187","6103","260","10021"
"0.0027820767229776","GO:0045184","establishment of protein localization","160","6103","216","10021"
"0.0157790902236483","GO:0006399","tRNA metabolic process","62","6103","77","10021"
"0.00064987042739476","GO:0034660","ncRNA metabolic process","91","6103","113","10021"
"0.0111946920479316","GO:0016874","ligase activity","132","6103","178","10021"
"3.78145838923563e-05","GO:0034613","cellular protein localization","131","6103","165","10021"
"0.000185938259514916","GO:0051641","cellular localization","169","6103","223","10021"
"3.78145838923563e-05","GO:0070727","cellular macromolecule localization","131","6103","165","10021"
"2.1824785243881e-05","GO:0006886","intracellular protein transport","124","6103","154","10021"
"0.0179549163322342","GO:0016192","vesicle-mediated transport","100","6103","132","10021"
"4.08889716173437e-05","GO:0046907","intracellular transport","142","6103","181","10021"
"0.000129847032757088","GO:0051649","establishment of localization in cell","162","6103","212","10021"
"0.0284199282876287","GO:0006396","RNA processing","100","6103","133","10021"
"0.0480632555423559","GO:0034470","ncRNA processing","43","6103","52","10021"
