"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0111100"	"Cyclophilin-like domain containing protein."	"OsCYP26-2, OsCYP-1, OsCYP26-1"
"Os01g0141600"	"Protein of unknown function DUF647 family protein."	"OsRUS5"
"Os01g0149800"	"Metallothionein-like protein type 2."	"OsMT2a, MT2a, met6, Osmet6, OsMT-2, MT-2, rgMT-2, OsMT-I-2a, OsMT2-1, MT-I-2a, MT2-1"
"Os01g0168500"	"WD40 repeat-like domain containing protein."	"OsATG18b, OsWD40-3"
"Os01g0186200"	"Similar to Phototropin."	"-"
"Os01g0194300"	"Ankyrin-repeat protein, Herbivore-induced defense response, Blast disease resistance"	"OsNH1, OsNPR1, OsNPR1/NH1, NPR1, OsPR2, PR2"
"Os01g0205300"	"Similar to rho termination factor, N-terminal domain containing protein."	"-"
"Os01g0225000"	"Mitochondrial carrier protein domain containing protein."	"-"
"Os01g0227400"	"Similar to Cytochrome P450 71A1 (EC 1.14.-.-) (CYPLXXIA1) (ARP-2)."	"-"
"Os01g0271500"	"Similar to RUB-activating enzyme (Ubiquitin activating enzyme E1-like protein)."	"-"
"Os01g0281100"	"Conserved hypothetical protein."	"-"
"Os01g0303800"	"UspA domain containing protein."	"-"
"Os01g0311500"	"Similar to PHS1 (PROPYZAMIDE-HYPERSENSITIVE 1); phosphoprotein phosphatase/ protein tyrosine/serine/threonine phosphatase."	"OsPHS1a, OsPP3"
"Os01g0369600"	"Conserved hypothetical protein."	"-"
"Os01g0372700"	"Similar to Asparaginyl-tRNA synthetase, cytoplasmic 1 (EC 6.1.1.22) (Asparagine-- tRNA ligase 1) (AsnRS 1)."	"-"
"Os01g0382700"	"Similar to stress regulated protein."	"-"
"Os01g0386700"	"Similar to BSK1 (BR-SIGNALING KINASE 1); ATP binding / binding / kinase/ protein kinase/ protein tyrosine kinase."	"-"
"Os01g0500600"	"Hypothetical protein."	"-"
"Os01g0507900"	"Similar to NClpP3 (ATP-dependent Clp protease proteolytic subunit ClpP3)."	"OsClpP3, OsClp2, CLP2"
"Os01g0559900"	"Non-protein coding transcript."	"OsAGP14, OsAGPEP2"
"Os01g0574500"	"ATPase, AAA-type, core domain containing protein."	"OsFtsH5, FtsH5"
"Os01g0600400"	"Pentatricopeptide repeat domain containing protein."	"-"
"Os01g0666800"	"Similar to predicted protein."	"-"
"Os01g0678100"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"Os01g0694900"	"Epsin-like, N-terminal domain containing protein."	"-"
"Os01g0700000"	"Conserved hypothetical protein."	"-"
"Os01g0739400"	"Similar to predicted protein."	"-"
"Os01g0754500"	"Protein of unknown function DUF1421 family protein."	"-"
"Os01g0808100"	"Similar to BZIP transcription factor."	"OsbZIP08, OsbZIP8"
"Os01g0811300"	"Similar to SET domain protein SDG111."	"OsSET4, SDG709, OsSUVH7"
"Os01g0816400"	"Similar to Microtubule bundling polypeptide TMBP200."	"-"
"Os01g0822800"	"Similar to RING-H2 finger protein ATL3C."	"-"
"Os01g0872800"	"Similar to 3-phosphoinositide-dependent protein kinase-1 (Fragment)."	"PDK1, OsPdk1, Pdk1"
"Os01g0889200"	"Conserved hypothetical protein."	"-"
"Os01g0889900"	"Serine/threonine protein kinase-related domain containing protein."	"-"
"Os01g0917400"	"Zinc finger, CCCH-type domain containing protein."	"OsC3H12"
"Os01g0918100"	"Conserved hypothetical protein."	"-"
"Os01g0931300"	"Tafazzin family protein."	"-"
"Os01g0960800"	"Protein Transporter, Pam16 family protein."	"-"
"Os01g0963600"	"ABA/WDS induced protein family protein."	"OsAsr2, OsASR4, OsASR6"
"Os01g0971800"	"Transcription factor with a GARP DNA-binding domain, Photoperiodic control of flowering time, Clock associated-component"	"OsPCL1"
"Os02g0107000"	"Sec63 domain domain containing protein."	"-"
"Os02g0143100"	"Similar to Sucrose-phosphatase (EC 3.1.3.24)."	"-"
"Os02g0145600"	"Conserved hypothetical protein."	"-"
"Os02g0169900"	"Inositol monophosphatase family protein."	"OsIMP-2, IMP-2"
"Os02g0170200"	"Similar to splicing factor, arginine/serine-rich 12."	"-"
"Os02g0193800"	"Similar to cDNA clone:002-103-F09, full insert sequence."	"-"
"Os02g0215000"	"Conserved hypothetical protein."	"-"
"Os02g0258900"	"Similar to CNX2 (COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2); catalytic."	"-"
"Os02g0265900"	"Hypothetical conserved gene."	"-"
"Os02g0266800"	"Transcriptional activator protein."	"OsbZIP20, RITA-1, RISBZ3"
"Os02g0287900"	"Cyclin-like F-box domain containing protein."	"OsFbox080, OsFbox80, Os_F0533"
"Os02g0299300"	"Similar to cDNA clone:J023112L03, full insert sequence."	"-"
"Os02g0306100"	"Similar to cation cation antiporter."	"-"
"Os02g0319800"	"WD40 repeat-like domain containing protein."	"OsWD40-43"
"Os02g0324300"	"Protein of unknown function DUF572 family protein."	"-"
"Os02g0489400"	"Similar to 40S ribosomal protein S8."	"S8"
"Os02g0509500"	"Protein of unknown function DUF3339 domain containing protein."	"-"
"Os02g0510000"	"Similar to Chaperone protein dnaJ."	"OsDjC18"
"Os02g0577900"	"Conserved hypothetical protein."	"-"
"Os02g0593700"	"Similar to TA4 protein (Fragment)."	"-"
"Os02g0597900"	"Similar to B-keto acyl reductase."	"-"
"Os02g0608900"	"Similar to Epstein-Barr virus (B95-8 isolate) U2-IR2 domain encoding nuclear protein EBNA2, complete cds."	"-"
"Os02g0610700"	"Conserved hypothetical protein."	"-"
"Os02g0634800"	"Ubiquitin-conjugating enzyme/RWD-like domain containing protein."	"UBC, OsUBC32, UBC32"
"Os02g0646500"	"Aldehyde dehydrogenase domain containing protein."	"OS-ALDH, OsALDH3E1"
"Os02g0654700"	"AP2/ERF family protein, Abiotic stress response"	"OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3"
"Os02g0656500"	"DnaJ-like protein."	"OsDjA1"
"Os02g0724000"	"CONSTANS-like protein, Heading promotion under long-day condition"	"OsN, OsBBX7, OsCCT08, DTH2"
"Os02g0725000"	"Similar to Protein kinase G11A (EC 2.7.1.-) (Fragment)."	"-"
"Os02g0726600"	"Similar to tic20 protein-related."	"-"
"Os02g0732900"	"Protein of unknown function DUF794, plant family protein."	"OsISC41"
"Os02g0741500"	"Ribbon-helix-helix domain containing protein."	"-"
"Os02g0760000"	"Similar to chaperone protein dnaJ."	"OsDjC22"
"Os02g0764500"	"Similar to Lhca5 protein."	"-"
"Os02g0769900"	"Pentatricopeptide repeat domain containing protein."	"-"
"Os02g0773300"	"Pyridoxal phosphate-dependent deaminase family protein."	"-"
"Os02g0803400"	"Similar to vacuolar protein sorting 55 containing protein."	"-"
"Os02g0814800"	"Glutathione S-transferase, C-terminal-like domain containing protein."	"-"
"Os02g0820400"	"Transferase family protein."	"-"
"Os02g0822800"	"Galactose oxidase/kelch, beta-propeller domain containing protein."	"-"
"Os02g0827600"	"Protein of unknown function DUF3531 domain containing protein."	"-"
"Os03g0109800"	"Hypothetical conserved gene."	"-"
"Os03g0110900"	"Dimeric alpha-beta barrel domain containing protein."	"-"
"Os03g0118600"	"Similar to dihydrodipicolinate reductase."	"-"
"Os03g0137600"	"Conserved hypothetical protein."	"-"
"Os03g0140200"	"Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase)."	"OsCYP96B5"
"Os03g0156700"	"Nickel/cobalt transporter, high-affinity domain containing protein."	"OsZNL"
"Os01g0780900"	"Protein of unknown function DUF3778 domain containing protein."	"-"
"Os03g0172100"	"Similar to Leucine zipper protein."	"-"
"Os03g0197000"	"Di-trans-poly-cis-decaprenylcistransferase-like domain containing protein."	"-"
"Os03g0220700"	"Conserved hypothetical protein."	"-"
"Os03g0225500"	"Nucleoporin, Common symbiosis signaling (SYM) pathway"	"NUP133"
"Os03g0265400"	"Similar to 50S ribosomal protein L4, chloroplast precursor (R-protein L4)."	"-"
"Os03g0267600"	"Protein of unknown function DUF3527 domain containing protein."	"-"
"Os03g0284500"	"HAD-superfamily subfamily IIA hydrolase, CECR5 protein."	"-"
"Os03g0289200"	"Similar to H/ACA ribonucleoprotein complex subunit 1-like protein (GCR 101 snRNP)."	"-"
"Os03g0322600"	"Conserved hypothetical protein."	"-"
