"Adjusted P value","ID","Description","A & B","A","B","U"
"1.50005601276506e-07","GO:0005622","intracellular anatomical structure","598","2585","1907","10021"
"1.51325223236119e-05","GO:0003676","nucleic acid binding","465","2585","1483","10021"
"7.78815951675163e-11","GO:0006412","translation","172","2585","408","10021"
"1.00554405301122e-12","GO:0005840","ribosome","138","2585","293","10021"
"0.00137317423293041","GO:0003723","RNA binding","113","2585","310","10021"
"9.43946745144238e-13","GO:0003735","structural constituent of ribosome","138","2585","292","10021"
"1.79100390965777e-10","GO:0006518","peptide metabolic process","177","2585","427","10021"
"0.00705840855586309","GO:0006807","nitrogen compound metabolic process","541","2585","1848","10021"
"0.0451879329936676","GO:0009058","biosynthetic process","483","2585","1667","10021"
"0.000716015259555981","GO:0009059","macromolecule biosynthetic process","354","2585","1135","10021"
"1.36785807857638e-05","GO:0010467","gene expression","371","2585","1148","10021"
"0.000543647413216865","GO:0034641","cellular nitrogen compound metabolic process","498","2585","1650","10021"
"0.000530898508667597","GO:0034645","cellular macromolecule biosynthetic process","354","2585","1131","10021"
"5.49535390944551e-11","GO:0043043","peptide biosynthetic process","175","2585","415","10021"
"7.79720612171487e-10","GO:0043603","cellular amide metabolic process","183","2585","453","10021"
"2.88053031778457e-10","GO:0043604","amide biosynthetic process","178","2585","433","10021"
"0.00404692339960329","GO:0044249","cellular biosynthetic process","461","2585","1544","10021"
"0.00505657410713222","GO:0044260","cellular macromolecule metabolic process","702","2585","2439","10021"
"0.00426430464281884","GO:0044267","cellular protein metabolic process","450","2585","1505","10021"
"0.000104432569862389","GO:0044271","cellular nitrogen compound biosynthetic process","372","2585","1176","10021"
"0.000106254050699704","GO:1901564","organonitrogen compound metabolic process","295","2585","906","10021"
"5.18745498677037e-07","GO:1901566","organonitrogen compound biosynthetic process","247","2585","696","10021"
"0.0159650230538563","GO:1901576","organic substance biosynthetic process","463","2585","1575","10021"
"1.27114940779801e-08","GO:0005737","cytoplasm","315","2585","896","10021"
"1.62519870354572e-08","GO:0032991","protein-containing complex","294","2585","828","10021"
"2.0639797459389e-08","GO:0043226","organelle","369","2585","1084","10021"
"7.11762646491369e-15","GO:0043228","non-membrane-bounded organelle","187","2585","416","10021"
"2.0639797459389e-08","GO:0043229","intracellular organelle","369","2585","1084","10021"
"7.11762646491369e-15","GO:0043232","intracellular non-membrane-bounded organelle","187","2585","416","10021"
"0.0415753501183314","GO:0044391","ribosomal subunit","21","2585","42","10021"
"2.04456686670506e-10","GO:0005198","structural molecule activity","148","2585","341","10021"
"1.36785807857638e-05","GO:0000786","nucleosome","26","2585","39","10021"
"1.36785807857638e-05","GO:0000785","chromatin","26","2585","39","10021"
"0.000128014418099611","GO:0005694","chromosome","33","2585","60","10021"
"1.36785807857638e-05","GO:0032993","protein-DNA complex","26","2585","39","10021"
"1.36785807857638e-05","GO:0044815","DNA packaging complex","26","2585","39","10021"
"8.73646307496415e-05","GO:0006334","nucleosome assembly","26","2585","42","10021"
"0.0070534758182854","GO:0051276","chromosome organization","34","2585","73","10021"
"8.73646307496415e-05","GO:0006333","chromatin assembly or disassembly","26","2585","42","10021"
"8.73646307496415e-05","GO:0034728","nucleosome organization","26","2585","42","10021"
"8.73646307496415e-05","GO:0031497","chromatin assembly","26","2585","42","10021"
"8.73646307496415e-05","GO:0006323","DNA packaging","26","2585","42","10021"
"0.0103871966244147","GO:0006325","chromatin organization","30","2585","63","10021"
"0.006315329038399","GO:0034622","cellular protein-containing complex assembly","38","2585","84","10021"
"0.0106042081599466","GO:0065003","protein-containing complex assembly","38","2585","86","10021"
"8.73646307496415e-05","GO:0065004","protein-DNA complex assembly","26","2585","42","10021"
"0.000488779557352842","GO:0071103","DNA conformation change","28","2585","50","10021"
"8.73646307496415e-05","GO:0071824","protein-DNA complex subunit organization","26","2585","42","10021"
