"Adjusted P value","ID","Description","A & B","A","B","U"
"1.78314186558504e-13","GO:0005622","intracellular anatomical structure","595","2410","1907","10021"
"0.00454164969994325","GO:0005575","cellular_component","804","2410","3025","10021"
"0.000262520334221711","GO:0003676","nucleic acid binding","427","2410","1483","10021"
"1.28475921404044e-39","GO:0006412","translation","224","2410","408","10021"
"9.9621985595511e-44","GO:0005840","ribosome","185","2410","293","10021"
"0.000478270907798069","GO:0015935","small ribosomal subunit","15","2410","21","10021"
"4.07160902759626e-08","GO:0003723","RNA binding","123","2410","310","10021"
"1.37624959489962e-43","GO:0003735","structural constituent of ribosome","184","2410","292","10021"
"5.97106022098272e-38","GO:0006518","peptide metabolic process","228","2410","427","10021"
"2.0097321627601e-14","GO:0006807","nitrogen compound metabolic process","584","2410","1848","10021"
"3.06731236002099e-09","GO:0009058","biosynthetic process","508","2410","1667","10021"
"3.53227881528719e-13","GO:0009059","macromolecule biosynthetic process","383","2410","1135","10021"
"0.00174569579230955","GO:0009987","cellular process","1103","2410","4225","10021"
"1.22303748157537e-16","GO:0010467","gene expression","401","2410","1148","10021"
"2.99108085928144e-09","GO:0019538","protein metabolic process","533","2410","1761","10021"
"1.56441877236092e-17","GO:0034641","cellular nitrogen compound metabolic process","545","2410","1650","10021"
"1.98289824300884e-13","GO:0034645","cellular macromolecule biosynthetic process","383","2410","1131","10021"
"9.69475081096996e-39","GO:0043043","peptide biosynthetic process","225","2410","415","10021"
"1.27847481091884e-06","GO:0043170","macromolecule metabolic process","759","2410","2710","10021"
"3.49844617358806e-37","GO:0043603","cellular amide metabolic process","236","2410","453","10021"
"2.59348839143373e-37","GO:0043604","amide biosynthetic process","229","2410","433","10021"
"1.78992944032825e-05","GO:0044237","cellular metabolic process","906","2410","3337","10021"
"3.33530641348936e-05","GO:0044238","primary metabolic process","977","2410","3635","10021"
"8.08921163787356e-11","GO:0044249","cellular biosynthetic process","484","2410","1544","10021"
"2.34560141411944e-08","GO:0044260","cellular macromolecule metabolic process","703","2410","2439","10021"
"4.1592243984894e-12","GO:0044267","cellular protein metabolic process","480","2410","1505","10021"
"1.22303748157537e-16","GO:0044271","cellular nitrogen compound biosynthetic process","409","2410","1176","10021"
"0.000308029141691084","GO:0071704","organic substance metabolic process","1012","2410","3817","10021"
"3.31759814335354e-24","GO:1901564","organonitrogen compound metabolic process","355","2410","906","10021"
"1.3338733970555e-28","GO:1901566","organonitrogen compound biosynthetic process","301","2410","696","10021"
"7.85172719295456e-10","GO:1901576","organic substance biosynthetic process","487","2410","1575","10021"
"1.54991697002117e-24","GO:0005737","cytoplasm","353","2410","896","10021"
"1.22304653586177e-14","GO:0032991","protein-containing complex","301","2410","828","10021"
"1.17277174667725e-14","GO:0043226","organelle","375","2410","1084","10021"
"1.16448426328851e-33","GO:0043228","non-membrane-bounded organelle","216","2410","416","10021"
"1.17277174667725e-14","GO:0043229","intracellular organelle","375","2410","1084","10021"
"1.16448426328851e-33","GO:0043232","intracellular non-membrane-bounded organelle","216","2410","416","10021"
"1.18527916367197e-08","GO:0044391","ribosomal subunit","30","2410","42","10021"
"4.85142185340654e-36","GO:0005198","structural molecule activity","192","2410","341","10021"
"0.000478270907798069","GO:0015934","large ribosomal subunit","15","2410","21","10021"
"0.0267317149141948","GO:0006414","translational elongation","17","2410","32","10021"
