"Adjusted P value","ID","Description","A & B","A","B","U"
"0.010633298896513","GO:0005622","intracellular anatomical structure","1359","6741","1907","10021"
"0.0111347399973442","GO:0003676","nucleic acid binding","1064","6741","1483","10021"
"0.0318525704293258","GO:0005840","ribosome","225","6741","293","10021"
"0.010633298896513","GO:0003723","RNA binding","242","6741","310","10021"
"0.0340882075113115","GO:0003735","structural constituent of ribosome","224","6741","292","10021"
"0.045639187388188","GO:0006518","peptide metabolic process","319","6741","427","10021"
"0.0051888339423916","GO:0006807","nitrogen compound metabolic process","1327","6741","1848","10021"
"0.0120460698439417","GO:0009987","cellular process","2934","6741","4225","10021"
"0.0051888339423916","GO:0034641","cellular nitrogen compound metabolic process","1188","6741","1650","10021"
"0.0226692833037582","GO:0043603","cellular amide metabolic process","341","6741","453","10021"
"0.0401991382238632","GO:0043604","amide biosynthetic process","324","6741","433","10021"
"0.0401991382238632","GO:0044237","cellular metabolic process","2321","6741","3337","10021"
"0.010633298896513","GO:1901564","organonitrogen compound metabolic process","665","6741","906","10021"
"0.0157640525371642","GO:1901566","organonitrogen compound biosynthetic process","514","6741","696","10021"
"0.0111347399973442","GO:0005737","cytoplasm","656","6741","896","10021"
"0.0226692833037582","GO:0032991","protein-containing complex","605","6741","828","10021"
"0.0271583447016467","GO:0043226","organelle","782","6741","1084","10021"
"0.0111347399973442","GO:0043228","non-membrane-bounded organelle","317","6741","416","10021"
"0.0271583447016467","GO:0043229","intracellular organelle","782","6741","1084","10021"
"0.0111347399973442","GO:0043232","intracellular non-membrane-bounded organelle","317","6741","416","10021"
"0.0271583447016467","GO:0005198","structural molecule activity","260","6741","341","10021"
"0.0401991382238632","GO:0004386","helicase activity","92","6741","112","10021"
"0.0271583447016467","GO:0015031","protein transport","166","6741","211","10021"
"0.0340882075113115","GO:0045184","establishment of protein localization","169","6741","216","10021"
"0.0401991382238632","GO:0030117","membrane coat","39","6741","43","10021"
"0.0401991382238632","GO:0048475","coated membrane","39","6741","43","10021"
