"Adjusted P value","ID","Description","A & B","A","B","U"
"0.0150910707161975","GO:0005515","protein binding","1547","6751","2185","10021"
"0.00198134438428583","GO:0015031","protein transport","172","6751","211","10021"
"0.00237888416647885","GO:0008104","protein localization","179","6751","222","10021"
"0.00378951875662665","GO:0033036","macromolecule localization","206","6751","260","10021"
"0.00198134438428583","GO:0045184","establishment of protein localization","175","6751","216","10021"
"0.00198134438428583","GO:0034613","cellular protein localization","137","6751","165","10021"
"0.00360395696163415","GO:0051641","cellular localization","179","6751","223","10021"
"0.00198134438428583","GO:0070727","cellular macromolecule localization","137","6751","165","10021"
"0.00167824131077387","GO:0006886","intracellular protein transport","130","6751","154","10021"
"0.00167824131077387","GO:0046907","intracellular transport","151","6751","181","10021"
"0.00198134438428583","GO:0051649","establishment of localization in cell","172","6751","212","10021"
