"Adjusted P value","ID","Description","A & B","A","B","U"
"2.23014216796224e-13","GO:0005622","intracellular anatomical structure","400","1496","1907","10021"
"2.501561712212e-07","GO:0005575","cellular_component","549","1496","3025","10021"
"3.24951724220512e-05","GO:0008152","metabolic process","829","1496","4962","10021"
"0.000135794134539754","GO:0008150","biological_process","1020","1496","6305","10021"
"4.61884310502432e-37","GO:0006412","translation","168","1496","408","10021"
"1.3907399946942e-46","GO:0005840","ribosome","150","1496","293","10021"
"6.64568189545533e-05","GO:0015935","small ribosomal subunit","13","1496","21","10021"
"0.0265713437672575","GO:0003723","RNA binding","68","1496","310","10021"
"1.3907399946942e-46","GO:0003735","structural constituent of ribosome","150","1496","292","10021"
"4.47469077410345e-37","GO:0006518","peptide metabolic process","173","1496","427","10021"
"8.6288995778249e-11","GO:0006807","nitrogen compound metabolic process","378","1496","1848","10021"
"1.53726430449106e-09","GO:0009058","biosynthetic process","341","1496","1667","10021"
"4.84180795358226e-10","GO:0009059","macromolecule biosynthetic process","251","1496","1135","10021"
"9.56122222885529e-09","GO:0009987","cellular process","744","1496","4225","10021"
"2.11581895097164e-10","GO:0010467","gene expression","255","1496","1148","10021"
"5.29091142292694e-09","GO:0019538","protein metabolic process","354","1496","1761","10021"
"3.88305740181627e-11","GO:0034641","cellular nitrogen compound metabolic process","346","1496","1650","10021"
"3.51333550021638e-10","GO:0034645","cellular macromolecule biosynthetic process","251","1496","1131","10021"
"1.06073377470041e-37","GO:0043043","peptide biosynthetic process","171","1496","415","10021"
"3.95235997421713e-05","GO:0043170","macromolecule metabolic process","483","1496","2710","10021"
"4.8435226460034e-35","GO:0043603","cellular amide metabolic process","176","1496","453","10021"
"1.30458331001548e-35","GO:0043604","amide biosynthetic process","172","1496","433","10021"
"1.26451929898823e-07","GO:0044237","cellular metabolic process","600","1496","3337","10021"
"5.00322750419884e-07","GO:0044238","primary metabolic process","642","1496","3635","10021"
"3.80204984013124e-10","GO:0044249","cellular biosynthetic process","323","1496","1544","10021"
"2.32445899244412e-07","GO:0044260","cellular macromolecule metabolic process","456","1496","2439","10021"
"9.08322513000058e-13","GO:0044267","cellular protein metabolic process","328","1496","1505","10021"
"4.00435374747655e-12","GO:0044271","cellular nitrogen compound biosynthetic process","267","1496","1176","10021"
"1.31558219083283e-06","GO:0071704","organic substance metabolic process","667","1496","3817","10021"
"7.11187494657122e-25","GO:1901564","organonitrogen compound metabolic process","255","1496","906","10021"
"4.07287113077765e-29","GO:1901566","organonitrogen compound biosynthetic process","221","1496","696","10021"
"1.75152268859157e-09","GO:1901576","organic substance biosynthetic process","325","1496","1575","10021"
"1.81174263561829e-26","GO:0005737","cytoplasm","257","1496","896","10021"
"4.61297861927671e-22","GO:0032991","protein-containing complex","232","1496","828","10021"
"1.2810324955879e-16","GO:0043226","organelle","266","1496","1084","10021"
"4.36294766271877e-46","GO:0043228","non-membrane-bounded organelle","184","1496","416","10021"
"1.2810324955879e-16","GO:0043229","intracellular organelle","266","1496","1084","10021"
"4.36294766271877e-46","GO:0043232","intracellular non-membrane-bounded organelle","184","1496","416","10021"
"3.91581406429256e-09","GO:0044391","ribosomal subunit","25","1496","42","10021"
"6.5086888409439e-41","GO:0005198","structural molecule activity","156","1496","341","10021"
"0.00624616778941007","GO:0022607","cellular component assembly","31","1496","106","10021"
"0.000531725848307321","GO:0015934","large ribosomal subunit","12","1496","21","10021"
"8.26599374095169e-06","GO:0000786","nucleosome","20","1496","39","10021"
"8.26599374095169e-06","GO:0000785","chromatin","20","1496","39","10021"
"0.000116659025782918","GO:0005694","chromosome","24","1496","60","10021"
"8.26599374095169e-06","GO:0032993","protein-DNA complex","20","1496","39","10021"
"8.26599374095169e-06","GO:0044815","DNA packaging complex","20","1496","39","10021"
"3.25648539265512e-05","GO:0006334","nucleosome assembly","20","1496","42","10021"
"0.013537354467638","GO:0051276","chromosome organization","23","1496","73","10021"
"3.25648539265512e-05","GO:0006333","chromatin assembly or disassembly","20","1496","42","10021"
"3.25648539265512e-05","GO:0034728","nucleosome organization","20","1496","42","10021"
"3.25648539265512e-05","GO:0031497","chromatin assembly","20","1496","42","10021"
"3.25648539265512e-05","GO:0006323","DNA packaging","20","1496","42","10021"
"0.0105199222404738","GO:0006325","chromatin organization","21","1496","63","10021"
"0.00102241719711542","GO:0034622","cellular protein-containing complex assembly","28","1496","84","10021"
"0.00164009030139083","GO:0065003","protein-containing complex assembly","28","1496","86","10021"
"3.25648539265512e-05","GO:0065004","protein-DNA complex assembly","20","1496","42","10021"
"4.68306317169595e-05","GO:0071103","DNA conformation change","22","1496","50","10021"
"3.25648539265512e-05","GO:0071824","protein-DNA complex subunit organization","20","1496","42","10021"
"0.0255047209211991","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","4","1496","4","10021"
"0.0290575893728587","GO:0051087","chaperone binding","8","1496","15","10021"
