"Adjusted P value","ID","Description","A & B","A","B","U"
"0.00118707201478598","GO:0005515","protein binding","1520","6571","2185","10021"
"1.79327827012937e-05","GO:0015031","protein transport","174","6571","211","10021"
"8.41376701244451e-05","GO:0008104","protein localization","180","6571","222","10021"
"0.00217979052118271","GO:0006810","transport","672","6571","935","10021"
"0.000120568889616619","GO:0033036","macromolecule localization","207","6571","260","10021"
"2.85209083631635e-05","GO:0045184","establishment of protein localization","177","6571","216","10021"
"0.00312253573222466","GO:0051179","localization","678","6571","946","10021"
"0.00232932054888833","GO:0051234","establishment of localization","675","6571","940","10021"
"0.00118707201478598","GO:0071702","organic substance transport","247","6571","321","10021"
"1.4772169975185e-05","GO:0034613","cellular protein localization","140","6571","165","10021"
"0.000522945636955797","GO:0051641","cellular localization","178","6571","223","10021"
"1.4772169975185e-05","GO:0070727","cellular macromolecule localization","140","6571","165","10021"
"3.16299958163653e-06","GO:0006886","intracellular protein transport","134","6571","154","10021"
"1.4772169975185e-05","GO:0046907","intracellular transport","152","6571","181","10021"
"0.000120568889616619","GO:0051649","establishment of localization in cell","172","6571","212","10021"
