"Adjusted P value","ID","Description","A & B","A","B","U"
"3.82558378270722e-21","GO:0005622","intracellular anatomical structure","452","1596","1907","10021"
"5.74664070933394e-07","GO:0005575","cellular_component","578","1596","3025","10021"
"0.000302616130886498","GO:0008152","metabolic process","871","1596","4962","10021"
"0.000799976925335916","GO:0003676","nucleic acid binding","292","1596","1483","10021"
"1.12438286832626e-58","GO:0006412","translation","205","1596","408","10021"
"5.52452057318171e-65","GO:0005840","ribosome","176","1596","293","10021"
"1.2127108711059e-06","GO:0015935","small ribosomal subunit","15","1596","21","10021"
"6.65374144693948e-09","GO:0003723","RNA binding","94","1596","310","10021"
"1.13693495230294e-64","GO:0003735","structural constituent of ribosome","175","1596","292","10021"
"1.59963315677214e-57","GO:0006518","peptide metabolic process","209","1596","427","10021"
"1.54197792282345e-24","GO:0006807","nitrogen compound metabolic process","453","1596","1848","10021"
"1.54882078008249e-16","GO:0009058","biosynthetic process","390","1596","1667","10021"
"2.05804292721789e-21","GO:0009059","macromolecule biosynthetic process","304","1596","1135","10021"
"1.02526617977661e-10","GO:0009987","cellular process","801","1596","4225","10021"
"3.23722314526811e-25","GO:0010467","gene expression","318","1596","1148","10021"
"1.7927443238797e-14","GO:0019538","protein metabolic process","399","1596","1761","10021"
"2.96076790551387e-27","GO:0034641","cellular nitrogen compound metabolic process","424","1596","1650","10021"
"1.15379755465665e-21","GO:0034645","cellular macromolecule biosynthetic process","304","1596","1131","10021"
"1.14736512777521e-58","GO:0043043","peptide biosynthetic process","207","1596","415","10021"
"1.56600949199976e-11","GO:0043170","macromolecule metabolic process","553","1596","2710","10021"
"5.14884347721891e-55","GO:0043603","cellular amide metabolic process","213","1596","453","10021"
"1.45390548138556e-55","GO:0043604","amide biosynthetic process","208","1596","433","10021"
"1.50792408582077e-12","GO:0044237","cellular metabolic process","665","1596","3337","10021"
"3.67999321930661e-10","GO:0044238","primary metabolic process","701","1596","3635","10021"
"5.37911534722595e-19","GO:0044249","cellular biosynthetic process","376","1596","1544","10021"
"1.93364733805413e-15","GO:0044260","cellular macromolecule metabolic process","525","1596","2439","10021"
"5.63334322749175e-20","GO:0044267","cellular protein metabolic process","372","1596","1505","10021"
"1.24990553354042e-24","GO:0044271","cellular nitrogen compound biosynthetic process","322","1596","1176","10021"
"8.98480615466842e-09","GO:0071704","organic substance metabolic process","722","1596","3817","10021"
"4.8598768296142e-36","GO:1901564","organonitrogen compound metabolic process","293","1596","906","10021"
"4.82808247564414e-43","GO:1901566","organonitrogen compound biosynthetic process","258","1596","696","10021"
"6.29238763153885e-18","GO:1901576","organic substance biosynthetic process","378","1596","1575","10021"
"4.0517053674218e-36","GO:0005737","cytoplasm","291","1596","896","10021"
"1.96907094746872e-30","GO:0032991","protein-containing complex","263","1596","828","10021"
"7.19007326688375e-23","GO:0043226","organelle","298","1596","1084","10021"
"5.94920280754293e-63","GO:0043228","non-membrane-bounded organelle","213","1596","416","10021"
"7.19007326688375e-23","GO:0043229","intracellular organelle","298","1596","1084","10021"
"5.94920280754293e-63","GO:0043232","intracellular non-membrane-bounded organelle","213","1596","416","10021"
"1.73327802916003e-12","GO:0044391","ribosomal subunit","29","1596","42","10021"
"2.86825018337722e-56","GO:0005198","structural molecule activity","181","1596","341","10021"
"7.05903673367312e-06","GO:0022607","cellular component assembly","39","1596","106","10021"
"5.78156373496633e-06","GO:0044085","cellular component biogenesis","52","1596","159","10021"
"0.0193028170488914","GO:0071840","cellular component organization or biogenesis","66","1596","279","10021"
"0.0192846242012354","GO:0006418","tRNA aminoacylation for protein translation","18","1596","50","10021"
"0.0112141436782334","GO:0006399","tRNA metabolic process","25","1596","77","10021"
"0.00220661365878822","GO:0034660","ncRNA metabolic process","35","1596","113","10021"
"0.0192846242012354","GO:0043038","amino acid activation","18","1596","50","10021"
"0.0192846242012354","GO:0043039","tRNA aminoacylation","18","1596","50","10021"
"1.3329223513424e-05","GO:0015934","large ribosomal subunit","14","1596","21","10021"
"1.17697160510231e-09","GO:0000786","nucleosome","25","1596","39","10021"
"1.17697160510231e-09","GO:0000785","chromatin","25","1596","39","10021"
"2.57346518662808e-07","GO:0005694","chromosome","29","1596","60","10021"
"1.17697160510231e-09","GO:0032993","protein-DNA complex","25","1596","39","10021"
"1.17697160510231e-09","GO:0044815","DNA packaging complex","25","1596","39","10021"
"9.84235689027759e-09","GO:0006334","nucleosome assembly","25","1596","42","10021"
"0.000151944525513538","GO:0051276","chromosome organization","28","1596","73","10021"
"9.84235689027759e-09","GO:0006333","chromatin assembly or disassembly","25","1596","42","10021"
"9.84235689027759e-09","GO:0034728","nucleosome organization","25","1596","42","10021"
"9.84235689027759e-09","GO:0031497","chromatin assembly","25","1596","42","10021"
"9.84235689027759e-09","GO:0006323","DNA packaging","25","1596","42","10021"
"6.83369474646816e-05","GO:0006325","chromatin organization","26","1596","63","10021"
"8.39334841454277e-07","GO:0034622","cellular protein-containing complex assembly","35","1596","84","10021"
"0.000373110064583821","GO:0043933","protein-containing complex subunit organization","39","1596","122","10021"
"4.68322974359621e-07","GO:0065003","protein-containing complex assembly","36","1596","86","10021"
"9.84235689027759e-09","GO:0065004","protein-DNA complex assembly","25","1596","42","10021"
"3.75844068777491e-08","GO:0071103","DNA conformation change","27","1596","50","10021"
