SampleID	EnvID	ExpID	PotID	Time	Cultivar	PlateID
1	1	5	1	22	Kos	8
2	1	5	1	1	Kos	8
3	1	5	1	4	Kos	8
4	1	5	1	7	Kos	8
5	1	5	1	10	Kos	8
6	1	5	1	13	Kos	8
7	1	5	1	16	Kos	8
8	1	5	1	19	Kos	8
9	1	5	1	22	Tak	8
10	1	5	1	1	Tak	8
11	1	5	1	4	Tak	8
12	1	5	1	7	Tak	8
13	1	5	1	10	Tak	8
14	1	5	1	13	Tak	8
15	1	5	1	16	Tak	8
16	1	5	1	19	Tak	8
17	2	5	21	22	Kos	8
18	2	5	21	1	Kos	8
19	2	5	21	4	Kos	8
20	2	5	21	7	Kos	8
21	2	5	21	10	Kos	8
22	2	5	21	13	Kos	8
23	2	5	21	16	Kos	8
24	2	5	21	19	Kos	8
25	2	5	21	22	Tak	8
26	2	5	21	1	Tak	8
27	2	5	21	4	Tak	8
28	2	5	21	7	Tak	8
29	2	5	21	10	Tak	8
30	2	5	21	13	Tak	8
31	2	5	21	16	Tak	8
32	2	5	21	19	Tak	8
33	3	5	3	22	Kos	8
34	3	5	3	1	Kos	8
35	3	5	3	4	Kos	8
36	3	5	3	7	Kos	8
37	3	5	3	10	Kos	8
38	3	5	3	13	Kos	8
39	3	5	3	16	Kos	8
40	3	5	3	19	Kos	8
41	3	5	3	22	Tak	8
42	3	5	3	1	Tak	8
43	3	5	3	4	Tak	8
44	3	5	3	7	Tak	8
45	3	5	3	10	Tak	8
46	3	5	3	13	Tak	8
47	3	5	3	16	Tak	8
48	3	5	3	19	Tak	8
49	4	5	4	22	Kos	9
50	4	5	4	1	Kos	9
51	4	5	4	4	Kos	9
52	4	5	4	7	Kos	9
53	4	5	4	10	Kos	9
54	4	5	4	13	Kos	9
55	4	5	4	16	Kos	9
56	4	5	4	19	Kos	9
57	4	5	4	22	Tak	9
58	4	5	4	1	Tak	9
59	4	5	4	4	Tak	9
60	4	5	4	7	Tak	9
61	4	5	4	10	Tak	9
62	4	5	4	13	Tak	9
63	4	5	4	16	Tak	9
64	4	5	4	19	Tak	9
65	5	5	5	22	Kos	9
66	5	5	5	1	Kos	9
67	5	5	5	4	Kos	9
68	5	5	5	7	Kos	9
69	5	5	5	10	Kos	9
70	5	5	5	13	Kos	9
71	5	5	5	16	Kos	9
72	5	5	5	19	Kos	9
73	5	5	5	22	Tak	9
74	5	5	5	1	Tak	9
75	5	5	5	4	Tak	9
76	5	5	5	7	Tak	9
77	5	5	5	10	Tak	9
78	5	5	5	13	Tak	9
79	5	5	5	16	Tak	9
80	5	5	5	19	Tak	9
81	6	6	1	22	Kos	9
82	6	6	1	1	Kos	9
83	6	6	1	4	Kos	9
84	6	6	1	7	Kos	9
85	6	6	1	10	Kos	9
86	6	6	1	13	Kos	9
87	6	6	1	16	Kos	9
88	6	6	1	19	Kos	9
89	6	6	1	22	Tak	9
90	6	6	1	1	Tak	9
91	6	6	1	4	Tak	9
92	6	6	1	7	Tak	9
93	6	6	1	10	Tak	9
94	6	6	1	13	Tak	9
95	6	6	1	16	Tak	9
96	6	6	1	19	Tak	9
97	7	4	24	22	Kos	9
98	7	4	24	1	Kos	9
99	7	4	24	4	Kos	9
100	7	4	24	7	Kos	9
101	7	4	24	10	Kos	9
102	7	4	24	13	Kos	9
103	7	4	24	16	Kos	9
104	7	4	24	19	Kos	9
105	7	4	24	22	Tak	9
106	7	4	24	1	Tak	9
107	7	4	24	4	Tak	9
108	7	4	24	7	Tak	9
109	7	4	24	10	Tak	9
110	7	4	24	13	Tak	9
111	7	4	24	16	Tak	9
112	7	4	24	19	Tak	9
113	8	4	25	22	Kos	9
114	8	4	25	1	Kos	9
115	8	4	25	4	Kos	9
116	8	4	25	7	Kos	9
117	8	4	25	10	Kos	9
118	8	4	25	13	Kos	9
119	8	4	25	16	Kos	9
120	8	4	25	19	Kos	9
121	8	4	25	22	Tak	9
122	8	4	25	1	Tak	9
123	8	4	25	4	Tak	9
124	8	4	25	7	Tak	9
125	8	4	25	10	Tak	9
126	8	4	25	13	Tak	9
127	8	4	25	16	Tak	9
128	8	4	25	19	Tak	9
129	9	4	26	22	Kos	10
130	9	4	26	1	Kos	10
131	9	4	26	4	Kos	10
132	9	4	26	7	Kos	10
133	9	4	26	10	Kos	10
134	9	4	26	13	Kos	10
135	9	4	26	16	Kos	10
136	9	4	26	19	Kos	10
137	9	4	26	22	Tak	10
138	9	4	26	1	Tak	10
139	9	4	26	4	Tak	10
140	9	4	26	7	Tak	10
141	9	4	26	10	Tak	10
