"correlation_high"	"Transcript_ID"	"Locus_ID"	"Description"	"RAP.DB.Gene.Symbol.Synonym.s."	"RAP.DB.Gene.Name.Synonym.s."	"CGSNL.Gene.Symbol"	"CGSNL.Gene.Name"	"Oryzabase.Gene.Symbol.Synonym.s."	"Oryzabase.Gene.Name.Synonym.s."	"GO"	"InterPro"	"Transcript.evidence"	"ORF.evidence"	"Curation.Date"	"Literature.PMID"	"FLcDNA.clone.ID"	"Oryzabase.Trait.Gene.ID"	"A.thaliana_gene_id"	"Reciprocal_flag"	"Type"	"Short_description"	"Curator_summary"	"Computational_description"	"gene.alias"	"Note"	"symbol"	"Alias"	"full_name"	"computational_description"	"Dbxref"	"locus_type"	"curator_summary"	"description"	"nochangenat.description"	"NormalizationGroup"
-0.76	"Os09t0551600-01"	"Os09g0551600"	"Similar to HMGd1 protein (Nucleasome/chromatin assembly factor D protein NFD101)."	"-"	"-"	"-"	"-"	"-"	"HMG protein, high-mobility group protein"	"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"	"High mobility group, HMG1/HMG2 (IPR000910), High mobility group, superfamily (IPR009071)"	"AK066658 (DDBJ, Best hit)"	"O04418 (UniProt)"	"-"	"-"	"J013071N11"	"16013"	"AT1G20693.1"	"1"	"protein_coding"	"high mobility group B2"	"\"Encodes a protein belonging to the subgroup of HMGB (high mobility group B) proteins that have a distinctive DNA-binding motif, the HMG-box domain.  The motif confers non-sequence specific interaction with linear DNA and structure-specific binding to distorted DNA sites.  The HMGB proteins are involved in the assembly of nucleoprotein complexes. Can be phosphorylated by CK2alpha. The mRNA is cell-to-cell mobile.\""	"\"high mobility group B2 (HMGB2); FUNCTIONS IN: chromatin binding, structural constituent of chromatin, DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: chromatin assembly or disassembly; LOCATED IN: chromatin; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: High mobility group, superfamily (InterPro:IPR009071), High mobility group, HMG1/HMG2 (InterPro:IPR000910), High mobility group, HMG1/HMG2, subgroup (InterPro:IPR000135); BEST Arabidopsis thaliana protein match is: high mobility group B3 (TAIR:AT1G20696.3)\""	"\"HMG BETA 1,HMGB2,NFD02,NFD2\""	"high mobility group B2"	"HMGB2"	"\"HMG BETA 1,HIGH MOBILITY GROUP BETA 1,NFD02,NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR GROUP D 02,NFD2,NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR GROUP D 2\""	"high mobility group B2"	"high mobility group B2 (HMGB2)%3B FUNCTIONS IN: chromatin binding%2C structural constituent of chromatin%2C DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: chromatin assembly or disassembly%3B LOCATED IN: chromatin%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: High mobility group%2C superfamily (InterPro:IPR009071)%2C High mobility group%2C HMG1/HMG2 (InterPro:IPR000910)%2C High mobility group%2C HMG1/HMG2%2C subgroup (InterPro:IPR000135)%3B BEST Arabidopsis thaliana protein match is: high mobility group B3 (TAIR:AT1G20696.3)%3B Has 7209 Blast hits to 6316 proteins in 714 species: Archae - 2%3B Bacteria - 5%3B Metazoa - 5374%3B Fungi - 532%3B Plants - 604%3B Viruses - 9%3B Other Eukaryotes - 683 (source: NCBI BLink)."	"\"PMID:9461286,PMID:11118137,PMID:12653554,PMID:14756567,PMID:17169924,PMID:17827277,PMID:20123078,PMID:20940346,PMID:21543902,locus:505006135\""	"protein_coding"	"Encodes a protein belonging to the subgroup of HMGB (high mobility group B) proteins that have a distinctive DNA-binding motif%2C the HMG-box domain.  The motif confers non-sequence specific interaction with linear DNA and structure-specific binding to distorted DNA sites.  The HMGB proteins are involved in the assembly of nucleoprotein complexes. Can be phosphorylated by CK2alpha."	"-"	"-"	"data"
-0.71	"Os05t0537400-00"	"Os05g0537400"	"Similar to Protein phosphatase 2C."	"-"	"-"	"-"	"-"	"OsPP2C50, PP2C50, OsPP78, OsABIL3, ABIL3"	"protein phosphatase 2C50, protein phosphatase 2C 50, protein phosphatase 78, OsABI-LIKE3, ABI-LIKE3, ABI-LIKE 3"	"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site (IPR000222), Protein phosphatase 2C-like (IPR001932), Protein phosphatase 2C (IPR015655)"	"CT841945 (DDBJ, Best hit)"	"A5A6P9 (UniProt)"	"-"	"-"	"-"	"17923"	"AT4G26080.1"	"1"	"protein_coding"	"Protein phosphatase 2C family protein"	"Involved in abscisic acid (ABA) signal transduction. Negative regulator of ABA promotion of stomatal closure."	"\"ABA INSENSITIVE 1 (ABI1); CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT5G57050.1)\""	"\"ABI1,AtABI1\""	"Protein phosphatase 2C family protein"	"ABI1"	"AtABI1"	"ABA INSENSITIVE 1"	"ABA INSENSITIVE 1 (ABI1)%3B CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C%2C  manganese/magnesium aspartate binding site (InterPro:IPR000222)%2C Protein phosphatase 2C-related (InterPro:IPR001932)%2C Protein phosphatase 2C (InterPro:IPR015655)%2C Protein phosphatase 2C%2C N-terminal (InterPro:IPR014045)%3B BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT5G57050.1)%3B Has 6864 Blast hits to 6731 proteins in 444 species: Archae - 4%3B Bacteria - 295%3B Metazoa - 1756%3B Fungi - 772%3B Plants - 2717%3B Viruses - 7%3B Other Eukaryotes - 1313 (source: NCBI BLink)."	"\"PMID:11005831,PMID:10972885,PMID:10950871,PMID:10938371,PMID:10899977,PMID:10872217,PMID:10787063,PMID:10645425,PMID:10527431,PMID:10521520,PMID:10504578,PMID:10488243,PMID:10441499,PMID:9869399,PMID:9862504,PMID:9807815,PMID:9765153,PMID:9611170,PMID:9537523,PMID:9448270,PMID:9351242,PMID:9276963,PMID:9263461,PMID:9165752,PMID:9161030,PMID:9112773,PMID:9108297,PMID:9090884,PMID:8898906,PMID:8883386,PMID:8761454,PMID:8771791,PMID:7568166,PMID:8197457,PMID:7910981,PMID:8155877,PMID:8492808,PMID:1834244,PMID:11115891,PMID:11587514,PMID:11707572,PMID:11704678,PMID:11701885,PMID:11779861,PMID:11882947,PMID:11208021,PMID:11439132,PMID:11289613,PMID:11181729,PMID:11459830,PMID:12065416,PMID:12047634,PMID:12194854,PMID:11851911,PMID:12232276,PMID:12232124,PMID:12228349,PMID:12446847,PMID:12445125,PMID:12432076,PMID:12427994,PMID:12369629,PMID:12468729,PMID:12514244,PMID:12609042,PMID:12713537,PMID:12662310,PMID:12857845,PMID:14504388,PMID:12960166,PMID:14576281,PMID:14596925,PMID:14731256,PMID:15086800,PMID:15197253,PMID:15356325,PMID:15618419,PMID:15599761,PMID:15144382,PMID:15923322,PMID:16365038,PMID:16339784,PMID:16571665,PMID:16614222,PMID:16805735,PMID:16798945,PMID:16998070,PMID:17092320,PMID:17158582,PMID:17261695,PMID:17304219,PMID:18028281,PMID:18162593,PMID:18094993,PMID:18088305,PMID:18298671,PMID:18365246,PMID:18650403,PMID:18775970,PMID:19266168,PMID:19407143,PMID:19458118,PMID:19240210,PMID:19513806,PMID:19624469,PMID:19705149,PMID:19690149,PMID:19769575,PMID:19874541,PMID:19855047,PMID:19847119,PMID:19837818,PMID:19895399,PMID:19880399,PMID:20164209,PMID:20128877,PMID:20377695,PMID:20507936,PMID:20490504,PMID:20519338,PMID:20639406,PMID:20803085,PMID:20699393,PMID:19855379,PMID:19924127,PMID:20385816,PMID:20729862,PMID:20930557,PMID:20554531,PMID:21172816,PMID:21357183,PMID:21371039,PMID:21525137,PMID:21610183,PMID:21586729,PMID:21556325,PMID:21666226,PMID:21638061,PMID:21778181,PMID:21746700,PMID:21853252,PMID:21821598,PMID:21885535,PMID:22028934,PMID:16667813,PMID:22121246,PMID:22090030,PMID:22156383,PMID:22251383,PMID:22368268,PMID:22350156,PMID:22730405,PMID:22705253,PMID:22661072,PMID:22995285,PMID:23178483,PMID:23268310,PMID:23437216,PMID:23396828,PMID:23370718,PMID:23448237,PMID:23483290,PMID:23452338,PMID:23606412,PMID:23468926,PMID:23660402,PMID:23658427,PMID:23630285,PMID:23934343,PMID:24078097,PMID:24179127,PMID:24279988,PMID:24383079,PMID:24098330,PMID:24081610,PMID:24223981,PMID:24561249,PMID:24492258,PMID:24637173,PMID:24706923,PMID:24828206,PMID:25038254,PMID:25336569,PMID:25268622,PMID:25266633,locus:2005488\""	"protein_coding"	"Involved in abscisic acid (ABA) signal transduction. Negative regulator of ABA promotion of stomatal closure."	"-"	"-"	"data"
-0.69	"Os03t0183200-01"	"Os03g0183200"	"Similar to AP2 domain containing protein, expressed."	"-"	"-"	"ERF69"	"ETHYLENE RESPONSE FACTOR 69"	"OsERF#069, OsERF069, OsERF69, AP2/EREBP#028, AP2/EREBP28"	"ethylene response factor 69, APETALA2/ethylene-responsive element binding protein 28"	"-"	"-"	"AK106987 (DDBJ, Best hit)"	"Q10QU3 (UniProt)"	"-"	"-"	"002-120-A04"	"10582"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.67	"Os08t0266400-00"	"Os08g0266400"	"Leucine-rich repeat, N-terminal domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: protein binding (GO:0005515)"	"Leucine-rich repeat (IPR001611), Leucine-rich repeat-containing N-terminal, type 2 (IPR013210)"	"AK355977 (DDBJ)"	"NP_001061404.1 (RefSeq)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.66	"Os08t0292900-01"	"Os08g0292900"	"Similar to Isoform 2 of Homeobox protein knotted-1-like 13."	"-"	"-"	"OSH45"	"HOMEOBOX45"	"OSH42, OSH44, H45"	"Oryza sativa homeobox45, Homeobox protein knotted-1-like 13, Homeobox protein OSH45"	"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)"	"Homeobox (IPR001356), ELK (IPR005539), KNOX2 (IPR005541), Homeobox KN domain (IPR008422), Homeodomain-like (IPR009057), Homeodomain-related (IPR012287)"	"AK111645 (DDBJ, Best hit)"	"Q0J6N4-2 (UniProt)"	"-"	"-"	"J013132C10"	"8709"	"AT5G11060.1"	"1"	"protein_coding"	"KNOTTED1-like homeobox gene 4"	"\"A member of Class II KN1-like homeodomain transcription factors (together with KNAT3 and KNAT5), with greatest homology to the maize knox1 homeobox protein. Expression regulated by light. Detected in all tissues examined, but most prominent in leaves and young siliques. Transient expression of GFP translational fusion protein suggests bipartite localization in nucleus and cytoplasm. KNAT4 promoter activity showed cell-type specific pattern along longitudinal root axis; GUS expression pattern started at the elongation zone, predominantly in the phloem and pericycle cells, extending to endodermis toward the base of the root.\""	"\"KNOTTED1-like homeobox gene 4 (KNAT4); FUNCTIONS IN: transcription activator activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to light stimulus; LOCATED IN: cytosol, nucleus, cytoplasm; EXPRESSED IN: 30 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ELK (InterPro:IPR005539), KNOX1 (InterPro:IPR005540), Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), KNOX2 (InterPro:IPR005541), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: KNOTTED1-like homeobox gene 3 (TAIR:AT5G25220.1)\""	"KNAT4"	"homeobox protein knotted-1-like 4"	"KNAT4"	"-"	"KNOTTED1-like homeobox gene 4"	"KNOTTED1-like homeobox gene 4 (KNAT4)%3B FUNCTIONS IN: transcription activator activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to light stimulus%3B LOCATED IN: cytosol%2C nucleus%2C cytoplasm%3B EXPRESSED IN: 30 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: ELK (InterPro:IPR005539)%2C KNOX1 (InterPro:IPR005540)%2C Homeobox (InterPro:IPR001356)%2C Homeodomain-like (InterPro:IPR009057)%2C KNOX2 (InterPro:IPR005541)%2C Homeodomain-related (InterPro:IPR012287)%3B BEST Arabidopsis thaliana protein match is: KNOTTED1-like homeobox gene 3 (TAIR:AT5G25220.1)%3B Has 5905 Blast hits to 5890 proteins in 326 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 2030%3B Fungi - 312%3B Plants - 3367%3B Viruses - 0%3B Other Eukaryotes - 196 (source: NCBI BLink)."	"\"PMID:8980519,PMID:11118137,PMID:12753585,PMID:14623097,PMID:15047898,PMID:15918878,PMID:16463096,PMID:16461388,PMID:18552355,PMID:18650403,PMID:19704797,PMID:24377444,locus:2184911\""	"protein_coding"	"A member of Class II KN1-like homeodomain transcription factors (together with KNAT3 and KNAT5)%2C with greatest homology to the maize knox1 homeobox protein. Expression regulated by light. Detected in all tissues examined%2C but most prominent in leaves and young siliques. Transient expression of GFP translational fusion protein suggests bipartite localization in nucleus and cytoplasm. KNAT4 promoter activity showed cell-type specific pattern along longitudinal root axis%3B GUS expression pattern started at the elongation zone%2C predominantly in the phloem and pericycle cells%2C extending to endodermis toward the base of the root."	"-"	"-"	"data"
-0.66	"Os01t0814400-01"	"Os01g0814400"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK069730 (DDBJ, Best hit)"	"A2ZYY0 (UniProt)"	"-"	"-"	"J023026G14"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.65	"Os05t0495250-00"	"Os05g0495250"	"Non-protein coding transcript."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CT836397 (DDBJ, Best hit)"	"NONE"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.62	"Os04t0683900-01"	"Os04g0683900"	"Protein of unknown function DUF296 domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Domain of unknown function DUF296 (IPR005175)"	"AK099749 (DDBJ, Best hit)"	"Q259R4 (UniProt)"	"-"	"-"	"J013091P17"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.61	"Os03t0439800-02"	"Os03g0439800"	"Similar to predicted protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Uncharacterised protein family SERF (IPR007513)"	"AK058503 (DDBJ, Best hit)"	"Q75KB8 (UniProt)"	"-"	"-"	"001-016-F08"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.6	"Os09t0421500-02"	"Os09g0421500"	"Hypothetical conserved gene."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK070023 (DDBJ, Best hit)"	"Q69P60 (UniProt)"	"-"	"-"	"J023039K01"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
