"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"Os01g0372700"	"Similar to Asparaginyl-tRNA synthetase, cytoplasmic 1 (EC 6.1.1.22) (Asparagine-- tRNA ligase 1) (AsnRS 1)."	"-"
"Os01g0386700"	"Similar to BSK1 (BR-SIGNALING KINASE 1); ATP binding / binding / kinase/ protein kinase/ protein tyrosine kinase."	"-"
"Os01g0666800"	"Similar to predicted protein."	"-"
"Os01g0928800"	"Similar to Serine palmitoyltransferase."	"OsLCB2a1, LCB2a1"
"Os02g0107000"	"Sec63 domain domain containing protein."	"-"
"Os02g0143100"	"Similar to Sucrose-phosphatase (EC 3.1.3.24)."	"-"
"Os02g0563800"	"Cyclin-like F-box domain containing protein."	"OsFbox097, OsFbox97, Os_F0402"
"Os02g0597900"	"Similar to B-keto acyl reductase."	"-"
"Os02g0608900"	"Similar to Epstein-Barr virus (B95-8 isolate) U2-IR2 domain encoding nuclear protein EBNA2, complete cds."	"-"
"Os02g0726600"	"Similar to tic20 protein-related."	"-"
"Os02g0773300"	"Pyridoxal phosphate-dependent deaminase family protein."	"-"
"Os02g0803400"	"Similar to vacuolar protein sorting 55 containing protein."	"-"
"Os02g0822800"	"Galactose oxidase/kelch, beta-propeller domain containing protein."	"-"
"Os03g0130800"	"Bromodomain containing protein."	"-"
"Os03g0140200"	"Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase)."	"OsCYP96B5"
"Os03g0197000"	"Di-trans-poly-cis-decaprenylcistransferase-like domain containing protein."	"-"
"Os03g0289200"	"Similar to H/ACA ribonucleoprotein complex subunit 1-like protein (GCR 101 snRNP)."	"-"
"Os03g0322600"	"Conserved hypothetical protein."	"-"
"Os03g0333300"	"Similar to Eukaryotic translation initiation factor 2 beta subunit (eIF-2-beta) (P38)."	"-"
"Os03g0351800"	"Zinc finger, RING/FYVE/PHD-type domain containing protein."	"OsRFP"
"Os03g0582200"	"SCAMP family protein."	"-"
"Os03g0620800"	"Similar to SEC1-family transport protein SLY1 (AtSLY1)."	"-"
"Os03g0628900"	"Prefoldin domain containing protein."	"-"
"Os03g0765400"	"Similar to nucleoporin p58/p45."	"-"
"Os03g0803000"	"Synaptobrevin domain containing protein."	"-"
"Os03g0805400"	"Phosphatidic acid phosphatase type 2/haloperoxidase domain containing protein."	"-"
"Os03g0854200"	"Exoribonuclease domain containing protein."	"-"
"Os04g0181100"	"HR-like lesion-inducer family protein."	"-"
"Os04g0346000"	"2OG-Fe(II) oxygenase domain containing protein."	"-"
"Os04g0431300"	"Acyl-CoA N-acyltransferase domain containing protein."	"-"
"Os04g0442100"	"Smr protein/MutS2 C-terminal domain containing protein."	"-"
"Os04g0503600"	"Similar to OSIGBa0112M24.5 protein."	"OsRLCK153"
"Os04g0514400"	"Peptidoglycan binding-like domain containing protein."	"-"
"Os04g0566500"	"Similar to Argonaute protein."	"OsAGO1b, AGO1b, AGO1-2"
"Os04g0589600"	"Glycosyl transferase, group 1 domain containing protein."	"-"
NA	NA	NA
"Os04g0599900"	"Similar to ENTH1 protein (Fragment)."	"-"
"Os04g0601700"	"Similar to Vacuolar ATP synthase subunit G 1 (EC 3.6.3.14) (V-ATPase G subunit 1) (Vacuolar proton pump G subunit 1)."	"-"
"Os05g0214300"	"Similar to Bidirectional sugar transporter SWEET3a."	"OsSWEET3a, SWEET3a"
"Os05g0346100"	"Phox-like domain containing protein."	"-"
"Os05g0498700"	"Similar to Gda-1 protein."	"-"
"Os05g0584300"	"Harpin-induced 1 domain containing protein."	"-"
"Os06g0300800"	"Hypothetical conserved gene."	"OsWD40-128"
"Os07g0106200"	"Similar to Hexose transporter."	"OsMST3"
"Os07g0110900"	"Conserved hypothetical protein."	"-"
"Os07g0209000"	"Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48 kDa subunit precursor, N-glycosylation, Root development"	"OsDGL1"
"Os07g0274700"	"HvB12D protein (B12Dg1 protein)."	"-"
"Os07g0419800"	"Hypothetical conserved gene."	"-"
"Os07g0497100"	"Chromodomain, helicase/ATPase, and DNA-binding domain (CHD) protein, Chromatin-remodeling factor, Mi-2-like protein, Crown root development, Chloroplast development in adaxial mesophyll, Maintenance of H3K4me3"	"-"
"Os07g0645100"	"Phosphatidylinositol 3- and 4-kinase, catalytic domain containing protein."	"-"
"Os07g0661300"	"Similar to Ubiquitin-specific protease 24."	"-"
"Os08g0208400"	"Transposon, En/Spm-like domain containing protein."	"-"
"Os08g0564800"	"Coactivator CBP, KIX domain containing protein."	"OsMED15_2, OsKIX_10, MED15_2, KIX_10"
"Os09g0110400"	"Similar to DNA-directed RNA polymerase II 36 kDa polypeptide A (EC 2.7.7.6) (RNA polymerase II subunit 3)."	"-"
"Os09g0338400"	"Similar to Cysteine desulfurase, mitochondrial precursor (EC 2.8.1.7) (m-Nfs1)."	"OsISC1"
"Os09g0466900"	"Similar to Calcium-dependent protein kinase."	"OsPEPRK2"
"Os09g0515200"	"Beta 7 subunit of 20S proteasome."	"OsPBG1"
"Os10g0190000"	"Similar to Ubiquitin-conjugating enzyme E2 M (EC 6.3.2.19) (Ubiquitin-protein ligase M) (Ubiquitin carrier protein M) (Nedd8-conjugating enzyme Ubc12)."	"OsUBC4"
"Os10g0447100"	"Similar to Ubiquitin-conjugating enzyme E2-21 kDa 2 (EC 6.3.2.19) (Ubiquitin- protein ligase 5) (Ubiquitin carrier protein 5)."	"OsUBC10"
"Os11g0129600"	"Hypothetical conserved gene."	"-"
"Os11g0264600"	"Conserved hypothetical protein."	"-"
"Os11g0482400"	"Pentatricopeptide repeat domain containing protein."	"-"
"Os12g0291100"	"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."	"RbcS3, OsRBCS3, OsRbcS3, rbcS"
