"fld"	"GC"	"mix"	"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"radiation"	"radiation"	"radiation"	"Os01g0111100"	"Cyclophilin-like domain containing protein."	"OsCYP26-2, OsCYP-1, OsCYP26-1"
"radiation"	"temperature"	"temperature"	"Os01g0111900"	"Glutelin family protein."	"SIP34"
"temperature"	"temperature"	"radiation"	"Os01g0120300"	"Similar to EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0141600"	"Protein of unknown function DUF647 family protein."	"OsRUS5"
"radiation"	"radiation"	"radiation"	"Os01g0149800"	"Metallothionein-like protein type 2."	"OsMT2a, MT2a, met6, Osmet6, OsMT-2, MT-2, rgMT-2, OsMT-I-2a, OsMT2-1, MT-I-2a, MT2-1"
"temperature"	"radiation"	"radiation"	"Os01g0168500"	"WD40 repeat-like domain containing protein."	"OsATG18b, OsWD40-3"
"temperature"	"radiation"	"radiation"	"Os01g0186200"	"Similar to Phototropin."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0194300"	"Ankyrin-repeat protein, Herbivore-induced defense response, Blast disease resistance"	"OsNH1, OsNPR1, OsNPR1/NH1, NPR1, OsPR2, PR2"
"temperature"	"radiation"	"radiation"	"Os01g0205300"	"Similar to rho termination factor, N-terminal domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os01g0224500"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0225000"	"Mitochondrial carrier protein domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0227400"	"Similar to Cytochrome P450 71A1 (EC 1.14.-.-) (CYPLXXIA1) (ARP-2)."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0271500"	"Similar to RUB-activating enzyme (Ubiquitin activating enzyme E1-like protein)."	"-"
"radiation"	"temperature"	"radiation"	"Os01g0271700"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0281100"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0303800"	"UspA domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0311500"	"Similar to PHS1 (PROPYZAMIDE-HYPERSENSITIVE 1); phosphoprotein phosphatase/ protein tyrosine/serine/threonine phosphatase."	"OsPHS1a, OsPP3"
"temperature"	"temperature"	"radiation"	"Os01g0351300"	"Exocyst complex subunit Sec15-like family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0369600"	"Conserved hypothetical protein."	"-"
