"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os01t0180800-01","Os01g0180800","Heat shock protein Hsp70 family protein.","-","-","-","-","-","-","Molecular Function: ATP binding (GO:0005524)","Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126)","AK100676 (DDBJ, Best hit)","B6U237 (UniProt)","-","-","J023113C17","-","AT1G79930.1","2","protein_coding","heat shock protein 91","""encodes high molecular weight heat shock protein 70 not a HSP90 homolog, mRNA is constitutively expressed but transiently induced after heat shock""","""heat shock protein 91 (HSP91); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to heat; LOCATED IN: nucleus, plasma membrane; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: seedling growth; CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT1G79920.1)""","""AtHsp70-14,HSP91""","heat shock protein 91","HSP91","AtHsp70-14","heat shock protein 91","heat shock protein 91 (HSP91)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to heat%3B LOCATED IN: nucleus%2C plasma membrane%3B EXPRESSED IN: 6 plant structures%3B EXPRESSED DURING: seedling growth%3B CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT1G79920.1)%3B Has 26123 Blast hits to 25422 proteins in 4368 species: Archae - 147%3B Bacteria - 11514%3B Metazoa - 3855%3B Fungi - 1595%3B Plants - 1116%3B Viruses - 117%3B Other Eukaryotes - 7779 (source: NCBI BLink).","""PMID:8706819,PMID:12169696,PMID:15941401,PMID:16377752,PMID:16502469,PMID:16608866,PMID:16679420,PMID:17153927,PMID:18189342,PMID:18650403,PMID:21418353,locus:2016364""","protein_coding","encodes high molecular weight heat shock protein 70 not a HSP90 homolog%2C mRNA is constitutively expressed but transiently induced after heat shock","-","-","data"
"Os01t0524700-01","Os01g0524700","Armadillo-like helical domain containing protein.","-","-","-","-","-","-","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: protein binding involved in protein folding (GO:0044183)","Armadillo (IPR000225), Armadillo-like helical (IPR011989), Armadillo-type fold (IPR016024), 26S proteasome non-ATPase regulatory subunit 5 (IPR019538)","AK105413 (DDBJ, Best hit)","B9EXA2 (UniProt)","-","-","001-123-H08","-","AT1G23180.2","2","protein_coding","ARM repeat superfamily protein","NULL","""ARM repeat superfamily protein; FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Armadillo-like helical (InterPro:IPR011989), Armadillo (InterPro:IPR000225), Armadillo-type fold (InterPro:IPR016024); BEST Arabidopsis thaliana protein match is: ARM repeat superfamily protein (TAIR:AT5G67340.1)""","-","ARM repeat superfamily protein","-","-","-","ARM repeat superfamily protein%3B FUNCTIONS IN: binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Armadillo-like helical (InterPro:IPR011989)%2C Armadillo (InterPro:IPR000225)%2C Armadillo-type fold (InterPro:IPR016024)%3B BEST Arabidopsis thaliana protein match is: ARM repeat superfamily protein (TAIR:AT5G67340.1)%3B Has 2470 Blast hits to 1640 proteins in 208 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 613%3B Fungi - 372%3B Plants - 1309%3B Viruses - 0%3B Other Eukaryotes - 176 (source: NCBI BLink).","""PMID:15047898,PMID:17085506,PMID:18315867,locus:2201205""","protein_coding","-","-","-","data"
"Os01t0624500-01","Os01g0624500","Similar to Sgt1.","-","-","-","-","OsSgt1, SGT1, OsSGT1, Os SGT1","suppressor of the G2 allele of skp1","-","SGS (IPR007699)","AK059268 (DDBJ, Best hit)","A6N0C5 (UniProt)","-","-","001-025-B06","11520","AT4G11260.1","2","protein_coding","phosphatase-related","""Functions in plant disease resistance signaling,  SCF(TIR1) mediated degradation of Aux/IAA proteins and HSP90 mediated degradation of R resistance proteins. AtSGT1a and AtSGT1b are functionally redundant in the resistance to pathogenes. AtSGT1b was more highly  expressed than AtSGT1. The N-terminal TPR domain of  AtSGT1a reduces the steady-state level of Arabidopsis SGT1  proteins whereas the same domain from AtSGT1b enhances  SGT1 accumulation. The TPR domain is dispensable for SGT1 resistance.""","""SGT1B; FUNCTIONS IN: protein binding; INVOLVED IN: in 6 processes; LOCATED IN: SCF ubiquitin ligase complex; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), Tetratricopeptide-like helical (InterPro:IPR011990), SGS (InterPro:IPR007699), Tetratricopeptide repeat-containing (InterPro:IPR013026), HSP20-like chaperone (InterPro:IPR008978), Tetratricopeptide repeat (InterPro:IPR019734), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: phosphatase-related (TAIR:AT4G23570.2)""","""ATSGT1B,EDM1,ETA3,RPR1,SGT1B""","phosphatase-like protein","SGT1B","-","-","SGT1B%3B FUNCTIONS IN: protein binding%3B INVOLVED IN: in 6 processes%3B LOCATED IN: SCF ubiquitin ligase complex%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C SGS (InterPro:IPR007699)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C HSP20-like chaperone (InterPro:IPR008978)%2C Tetratricopeptide repeat (InterPro:IPR019734)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: phosphatase-related (TAIR:AT4G23570.2)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).","""PMID:11847308,PMID:12034892,PMID:12034891,PMID:12782725,PMID:14504384,PMID:15155873,PMID:15546349,PMID:15773856,PMID:11847307,PMID:15976272,PMID:16039901,PMID:16255250,PMID:16619029,PMID:16845481,PMID:17194768,PMID:17217463,PMID:18032631,PMID:18065690,PMID:18052881,PMID:18650403,PMID:19304739,PMID:19140951,PMID:19825557,PMID:19825556,PMID:20444230,PMID:20569389,PMID:20699401,PMID:20854394,PMID:21029323,PMID:20862316,PMID:21586649,PMID:22486382,PMID:23289750,PMID:23275581,PMID:21620700,PMID:24550736,locus:2128278""","protein_coding","Functions in plant disease resistance signaling%2C  SCF(TIR1) mediated degradation of Aux/IAA proteins and HSP90 mediated degradation of R resistance proteins. AtSGT1a and AtSGT1b are functionally redundant in the resistance to pathogenes. AtSGT1b was more highly  expressed than AtSGT1. The N-terminal TPR domain of  AtSGT1a reduces the steady-state level of Arabidopsis SGT1  proteins whereas the same domain from AtSGT1b enhances  SGT1 accumulation. The TPR domain is dispensable for SGT1 resistance.","-","-","data"
"Os01t0757500-01","Os01g0757500","CS domain domain containing protein.","-","-","-","-","-","-","-","CS-like domain (IPR007052), SGS (IPR007699), HSP20-like chaperone (IPR008978), Siah interacting protein, N-terminal (IPR015120), CS domain (IPR017447)","AK121744 (DDBJ, Best hit)","B6SN82 (UniProt)","-","-","J033086D07","-","AT1G30070.1","2","protein_coding","SGS domain-containing protein","NULL","""SGS domain-containing protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), Siah interacting protein, N-terminal (InterPro:IPR015120), SGS (InterPro:IPR007699), HSP20-like chaperone (InterPro:IPR008978), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G30060.1)""","-","SGS domain-containing protein","-","-","-","SGS domain-containing protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C Siah interacting protein%2C N-terminal (InterPro:IPR015120)%2C SGS (InterPro:IPR007699)%2C HSP20-like chaperone (InterPro:IPR008978)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G30060.1)%3B Has 315 Blast hits to 314 proteins in 126 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 142%3B Fungi - 31%3B Plants - 77%3B Viruses - 0%3B Other Eukaryotes - 65 (source: NCBI BLink).","""PMID:15610345,PMID:17085506,PMID:17888165,PMID:18650403,PMID:18775970,locus:2198284""","protein_coding","-","-","-","data"
"Os01t0834700-01","Os01g0834700","Zinc finger, CCCH-type domain containing protein.","-","-","C3H11","ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 11","OsC3H11","Zinc finger CCCH domain-containing protein 11","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)","Zinc finger, CCCH-type (IPR000571)","AK106074 (DDBJ, Best hit), AK101559 (DDBJ, Best hit)","B6TD33 (UniProt)","-","-","001-206-H10, J033050C24","8574","AT2G20280.1","2","protein_coding","Zinc finger C-x8-C-x5-C-x3-H type family protein","NULL","""Zinc finger C-x8-C-x5-C-x3-H type family protein; FUNCTIONS IN: zinc ion binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571)""","-","Zinc finger C-x8-C-x5-C-x3-H type family protein","-","-","-","Zinc finger C-x8-C-x5-C-x3-H type family protein%3B FUNCTIONS IN: zinc ion binding%2C nucleic acid binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C CCCH-type (InterPro:IPR000571)%3B Has 6263 Blast hits to 4194 proteins in 354 species: Archae - 14%3B Bacteria - 176%3B Metazoa - 2274%3B Fungi - 740%3B Plants - 301%3B Viruses - 209%3B Other Eukaryotes - 2549 (source: NCBI BLink).","""PMID:18221561,PMID:18650403,locus:2039022""","protein_coding","-","-","-","data"
"Os01t0840100-01","Os01g0840100","Heat shock protein Hsp70 family protein.","-","-","-","-","OsMed37_1, Med37_1","heat-shock protein 70, heat-shock protein cognate 70, Mediator 37_1","Molecular Function: ATP binding (GO:0005524)","Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)","AK243277 (DDBJ, Best hit)","Q9SAU8 (UniProt)","-","-","J100050G20","17626","AT5G02500.1","1","protein_coding","heat shock cognate protein 70-1","encodes a member of heat shock protein 70 family.","""heat shock cognate protein 70-1 (HSC70-1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to cold, response to virus, response to heat; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)""","""AT-HSC70-1,AtHsp70-1,HSC70,HSC70-1,HSP70-1""","heat shock cognate protein 70-1","HSC70-1","""AT-HSC70-1,ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1,AtHsp70-1,HSC70,HEAT SHOCK COGNATE PROTEIN 70,HSP70-1,HEAT SHOCK PROTEIN 70-1""","heat shock cognate protein 70-1","heat shock cognate protein 70-1 (HSC70-1)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to cold%2C response to virus%2C response to heat%3B LOCATED IN: in 9 components%3B EXPRESSED IN: 29 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)%3B Has 34264 Blast hits to 33945 proteins in 4852 species: Archae - 163%3B Bacteria - 16558%3B Metazoa - 3831%3B Fungi - 1761%3B Plants - 1266%3B Viruses - 306%3B Other Eukaryotes - 10379 (source: NCBI BLink).","""PMID:10508612,PMID:10344193,PMID:9914526,PMID:9437862,PMID:8804399,PMID:8706819,PMID:7651336,PMID:7984243,PMID:8049382,PMID:11807141,PMID:11179422,PMID:11402207,PMID:12433921,PMID:12482876,PMID:10446203,PMID:12805626,PMID:12887064,PMID:14505352,PMID:12954627,PMID:9750105,PMID:14617066,PMID:14655047,PMID:15763661,PMID:15805473,PMID:16636050,PMID:18065690,PMID:18650403,PMID:18775970,PMID:19443614,PMID:19617588,PMID:21139434,PMID:21418353,PMID:21612577,PMID:21586649,PMID:21798377,PMID:22021418,PMID:22115780,PMID:22771433,locus:2181833""","protein_coding","encodes a member of heat shock protein 70 family.","-","-","data"
"Os02t0100300-01","Os02g0100300","Similar to HSP associated protein like.","-","-","-","-","-","-","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)","Heat shock chaperonin-binding (IPR006636), Tetratricopeptide-like helical (IPR011990), Tetratricopeptide repeat-containing (IPR013026), Tetratricopeptide repeat (IPR019734)","AK102264 (DDBJ, Best hit)","NP_001150109.1 (RefSeq)","-","-","J033088M02","-","AT4G22670.1","2","protein_coding","HSP70-interacting protein 1","""Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones. The mRNA is cell-to-cell mobile.""","""HSP70-interacting protein 1 (HIP1); FUNCTIONS IN: binding; INVOLVED IN: response to cadmium ion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636), Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: tetraticopeptide domain-containing thioredoxin (TAIR:AT3G17880.1)""","""AtHip1,HIP1,TPR11""","HSP70-interacting protein 1","HIP1","""AtHip1,HSP70-interacting protein 1,TPR11,tetratricopeptide repeat 11""","HSP70-interacting protein 1","HSP70-interacting protein 1 (HIP1)%3B FUNCTIONS IN: binding%3B INVOLVED IN: response to cadmium ion%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636)%2C Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%3B BEST Arabidopsis thaliana protein match is: tetraticopeptide domain-containing thioredoxin (TAIR:AT3G17880.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).","""PMID:12777046,PMID:16502469,PMID:11599566,PMID:18650403,PMID:20856808,locus:2132579""","protein_coding","Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010%2C Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","-","-","data"
"Os02t0115900-02","Os02g0115900","Endosperm lumenal binding protein.","-","-","-","-","OsBiP1, BiP1, BiP, Bip3, OsBiP3, BIP1/OsBIP3, OsMed37_2, Med37_2","ER chaperone BiP1, Binding protein 1, binding protein, endosperm lumenal binding protein, endoplasmic reticulum (ER) chaperone BiP3, Polypeptide chain-binding protein, Mediator 37_2","Molecular Function: ATP binding (GO:0005524)","Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)","AK065743 (DDBJ, Best hit)","O24182 (UniProt)","-","-","J013040G16","10082","AT5G42020.3","2","protein_coding","Heat shock protein 70 (Hsp 70) family protein","Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.","""BIP2; FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to heat, polar nucleus fusion, response to endoplasmic reticulum stress; LOCATED IN: in 8 components; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: seedling growth, seed development stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G28540.1)""","""BIP,BIP2""","Heat shock protein 70 (Hsp 70) family protein","BIP2","-","-","BIP2%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to heat%2C polar nucleus fusion%2C response to endoplasmic reticulum stress%3B LOCATED IN: in 8 components%3B EXPRESSED IN: 8 plant structures%3B EXPRESSED DURING: seedling growth%2C seed development stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G28540.1)%3B Has 36681 Blast hits to 36078 proteins in 4871 species: Archae - 169%3B Bacteria - 17752%3B Metazoa - 3980%3B Fungi - 1822%3B Plants - 1284%3B Viruses - 342%3B Other Eukaryotes - 11332 (source: NCBI BLink).","""PMID:10517826,PMID:8888624,PMID:7724680,PMID:11402207,PMID:12172839,PMID:15781873,PMID:16467298,PMID:16618929,PMID:16781668,PMID:17059403,PMID:17761429,PMID:18156219,PMID:18296626,PMID:18650403,PMID:18849477,PMID:19923238,PMID:20080634,PMID:20118269,PMID:20358261,PMID:21277284,PMID:21697507,PMID:22323770,PMID:22701744,PMID:23148892,PMID:23261264,PMID:24064926,PMID:24486762,PMID:23867017,PMID:25231968,locus:2165715""","protein_coding","Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.","-","-","data"
"Os02t0117200-01","Os02g0117200","Similar to MIR-interacting saposin-like protein.","-","-","-","-","-","-","-","Protein of unknown function DUF3456 (IPR021852)","AK241361 (DDBJ, Best hit)","B6T6D7 (UniProt)","-","-","J065151F22","-","AT1G42480.1","2","protein_coding","NULL","NULL","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3456 (InterPro:IPR021852)","-","TLR4 regulator/MIR-interacting MSAP protein","-","-","-","unknown protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3456 (InterPro:IPR021852)%3B Has 177 Blast hits to 177 proteins in 59 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 140%3B Fungi - 0%3B Plants - 35%3B Viruses - 0%3B Other Eukaryotes - 2 (source: NCBI BLink).","""PMID:12093376,PMID:18775970,PMID:20226671,locus:2206100""","protein_coding","-","-","-","data"
"Os02t0139100-01","Os02g0139100","Activator of Hsp90 ATPase, N-terminal domain containing protein.","-","-","-","-","-","-","Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATPase activator activity (GO:0001671), Molecular Function: chaperone binding (GO:0051087)","Activator of Hsp90 ATPase, N-terminal (IPR015310)","AK065722 (DDBJ, Best hit)","D2E9R5 (UniProt)","-","-","J013038J22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
